Country name,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
Cambodia,1,-0.3027179020465032,0.026075888635286315,0.006967737176251359,0.0,0.0,0.0
Cameroon,1,-0.07213696238966044,-0.7327102484563878,-0.18442443720716026,0.0,0.0,0.0
Canada,1,0.4197383903225071,1.3321475730729506,0.2983645624982922,1.0,1.0,1.0
Cayman Islands,1,-0.8466632368442164,-0.20285648884358504,-0.06342376752495738,0.0,0.0,0.0
Central African Republic,1,-0.6031578270629027,-1.2405394443897595,-0.3604191394630014,0.0,0.0,0.0
Chad,1,-0.29772663477476263,-1.8208388043394366,-0.4858982148801739,0.0,0.0,0.0
Chile,1,0.3691303632455868,0.4789025459770659,0.10849077336002709,1.0,1.0,1.0
China,1,0.34382945935195736,0.48656537665278304,0.11086214003112549,1.0,1.0,1.0
Colombia,1,0.18117076350347083,0.1524202506345127,0.03606500825034052,0.0,0.0,0.0
Comoros,1,-0.7561039903061303,-0.6649556493340956,-0.2021762838785148,0.0,0.0,0.0
"Congo, Dem. Rep.",1,-0.4183804416397132,-1.4823617371854472,-0.4087342364364084,0.0,0.0,0.0
"Congo, Rep.",1,-0.1457018749585542,-0.7989528722114786,-0.2048916797432238,0.0,0.0,0.0
Costa Rica,1,0.21996750387946415,0.26909665560756746,0.06309327438212983,1.0,1.0,1.0
Croatia,1,-0.03078836272021902,0.8264928260340841,0.20588690339299773,0.0,1.0,1.0
Cuba,1,0.4715332733107744,-0.20214537580964087,-0.04475583040888546,1.0,0.0,0.0
Cyprus,1,0.10348123271851503,0.9677428402194262,0.23327116762785827,0.0,1.0,1.0
Czechia,1,0.5943158381854217,1.0497446385456812,0.22626687855020763,1.0,1.0,1.0
C�te d�Ivoire,1,0.045130992054023766,-0.8887666908462702,-0.21729044996827585,0.0,0.0,0.0
Denmark,1,0.4452958719249086,1.078477810483327,0.24017468280965903,1.0,1.0,1.0
Djibouti,1,-0.9762498968438063,-0.20285648884358504,-0.06610193416509987,0.0,0.0,0.0
Dominica,1,-0.6021278592946602,-0.015326897231938945,-0.0044516557630354305,0.0,0.0,0.0
Dominican Republic,1,0.09983350138048341,-0.7406707999202083,-0.17869333378760846,0.0,0.0,0.0
Ecuador,1,-0.018849423214863388,0.16928943900368562,0.042046493328312284,0.0,0.0,0.0
"Egypt, Arab Rep.",1,1.614128868959949,0.0063076793545161335,0.0011145841415332342,1.0,0.0,0.0
El Salvador,1,-0.0552962052725016,0.11209770495464741,0.028096091226898753,0.0,0.0,0.0
Eritrea,1,-0.5623674415549251,-0.20285648884358504,-0.05824646938863254,0.0,0.0,0.0
Estonia,1,0.26946920733915475,1.2831417780137797,0.2973978837325561,1.0,1.0,1.0
Eswatini,1,-0.12022918746036582,-0.6729717981690456,-0.17146371641436642,0.0,0.0,0.0
Ethiopia,1,0.16400188262643497,-1.3691433755877078,-0.32528210821864334,0.0,0.0,0.0
Fiji,1,-0.3436371712769073,-0.36986612581825673,-0.09992449094042581,0.0,0.0,0.0
Finland,1,0.4022420267874269,1.2376650435352212,0.27829361510207445,1.0,1.0,1.0
France,1,0.8625986917759595,1.1131986147953516,0.22682731558819086,1.0,1.0,1.0
Gabon,1,-0.3554539188896301,-0.054288129661545656,-0.014713667952090455,0.0,0.0,0.0
"Gambia, The",1,-0.7904176880041084,-0.9189937545769461,-0.282361084790193,0.0,0.0,0.0
Georgia,1,-0.13128770575267792,-0.03204866264944878,-0.008188618814044157,0.0,0.0,0.0
Germany,1,1.142087265365902,1.1962327604867438,0.23061328415354151,1.0,1.0,1.0
Ghana,1,0.10664273079258542,-1.1863703529173575,-0.2857528334573454,0.0,0.0,0.0
Gibraltar,1,0.40833091745097727,-0.20285648884358504,-0.04555067651614162,1.0,0.0,0.0
Greece,1,0.2556647020813026,0.6535846179184593,0.15196963136323285,1.0,1.0,1.0
Grenada,1,-0.3118859754129239,-0.07329784552092922,-0.019634013835037767,0.0,0.0,0.0
Guatemala,1,-0.18988654699061805,-0.33335841771832136,-0.08646965870375324,0.0,0.0,0.0
Guinea,1,-0.34029922888819475,-0.7031486428721482,-0.18979425500761957,0.0,0.0,0.0
Guyana,1,-0.2511730919719111,-0.6885224802026169,-0.18148048213843815,0.0,0.0,0.0
Haiti,1,-1.1646102311949362,-0.9909957104477165,-0.3440380188605813,0.0,0.0,0.0
Honduras,1,-0.5483171372421053,-0.4045738679873729,-0.11569910160847648,0.0,0.0,0.0
"Hong Kong SAR, China",1,0.7670988158131031,1.3655752997341086,0.28377405736201106,1.0,1.0,1.0
Hungary,1,0.585072883771033,0.8557081280077208,0.18481153422487961,1.0,1.0,1.0
Iceland,1,0.38070106119987007,0.9170883162772158,0.2072143954562326,1.0,1.0,1.0
India,1,0.613663586721278,-0.21694291593303766,-0.046566695411990544,1.0,0.0,0.0
Indonesia,1,0.4228407755255653,0.03739460796870892,0.008369552191032833,1.0,0.0,0.0
"Iran, Islamic Rep.",1,0.34299545469607406,0.17809118689214093,0.04058513722976071,1.0,0.0,0.0
Iraq,1,-0.36908676110311117,-1.3141478904892807,-0.3574933432857663,0.0,0.0,0.0
Ireland,1,0.3428890283199833,1.2533973126377582,0.28564319555344725,1.0,1.0,1.0
Israel,1,0.5658600453145688,0.7984458713814636,0.1731628581911503,1.0,1.0,1.0
Italy,1,0.7298271830186454,0.86268885414602,0.18067082909781151,1.0,1.0,1.0
Jamaica,1,0.11783579921794911,-0.3215921907175347,-0.07725142035610486,0.0,0.0,0.0
Japan,1,0.7138257421220147,1.5720094534300972,0.33032909749079575,1.0,1.0,1.0
Jordan,1,-0.14654404384779476,0.21283635922301963,0.054593732625300644,0.0,0.0,1.0
Kazakhstan,1,-0.005107858532800595,0.20457102752942555,0.050636574621710534,0.0,0.0,0.0
