INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_outlier,Year,Value,val_std,mu,sd,z
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",GRC,Greece,"Government expenditure on primary education, PPP$ (millions)",Europe & Central Asia,High income,,false,2019,4350.17822265625,8.37820194319097,6.758659794271764,2.432254157536862,0.6658605737812007
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",GRD,Grenada,"Government expenditure on primary education, PPP$ (millions)",Latin America & Caribbean,Upper middle income,Blend,false,2017,17.87360954284668,2.9377646258174215,6.758659794271764,2.432254157536862,-1.5709275926672701
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",GUY,Guyana,"Government expenditure on primary education, PPP$ (millions)",Latin America & Caribbean,High income,IDA,false,2012,54.21432876586914,4.011222498690058,6.758659794271764,2.432254157536862,-1.129584787456599
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",HKG,"Hong Kong SAR, China","Government expenditure on primary education, PPP$ (millions)",East Asia & Pacific,High income,,false,2022,4444.36962890625,8.39961830060012,6.758659794271764,2.432254157536862,0.6746657216078727
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",HND,Honduras,"Government expenditure on primary education, PPP$ (millions)",Latin America & Caribbean,Lower middle income,IDA,false,2013,1047.032592773438,6.954669964372048,6.758659794271764,2.432254157536862,0.08058786516734064
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",HRV,Croatia,"Government expenditure on primary education, PPP$ (millions)",Europe & Central Asia,High income,IBRD,false,2020,2264.908935546875,7.725731253466596,6.758659794271764,2.432254157536862,0.3976029627488367
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",HTI,Haiti,"Government expenditure on primary education, PPP$ (millions)",Latin America & Caribbean,Lower middle income,IDA,false,1991,58.37776947021484,4.083919904975903,6.758659794271764,2.432254157536862,-1.0996958854022736
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",HUN,Hungary,"Government expenditure on primary education, PPP$ (millions)",Europe & Central Asia,High income,,false,2020,2521.144287109375,7.83286472627193,6.758659794271764,2.432254157536862,0.441649952029689
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",IDN,Indonesia,"Government expenditure on primary education, PPP$ (millions)",East Asia & Pacific,Upper middle income,IBRD,false,2015,40420.1796875,10.607109176268976,6.758659794271764,2.432254157536862,1.582256266300117
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",IND,India,"Government expenditure on primary education, PPP$ (millions)",South Asia,Lower middle income,IBRD,false,2021,115602.3203125,11.657919957234403,6.758659794271764,2.432254157536862,2.014287917971578
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",IRL,Ireland,"Government expenditure on primary education, PPP$ (millions)",Europe & Central Asia,High income,,false,2020,5377.810546875,8.590222540770839,6.758659794271764,2.432254157536862,0.7530309860191149
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",ISL,Iceland,"Government expenditure on primary education, PPP$ (millions)",Europe & Central Asia,High income,,false,2020,495.7350463867188,6.208056778083443,6.758659794271764,2.432254157536862,-0.22637560901362175
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",ISR,Israel,"Government expenditure on primary education, PPP$ (millions)","Middle East, North Africa, Afghanistan & Pakistan",High income,,false,2020,9708.009765625,9.180809575201856,6.758659794271764,2.432254157536862,0.995845674032272
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",ITA,Italy,"Government expenditure on primary education, PPP$ (millions)",Europe & Central Asia,High income,,false,2020,30678.28515625,10.331342955217892,6.758659794271764,2.432254157536862,1.4688773991301038
