Indicator name,non_null_values,countries_covered,years_covered
LDSEV: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading;,5,1,5
LDSEV: PIRLS 2006 for grade 4 using MPL Low (400 points) for reading;,5,2,4
LDSEV: PIRLS 2006 for grade 4 using MPL Low (400 points) for reading; Male,5,1,5
"Out-of-school rate for youth of upper secondary school age, rural, adjusted gender parity index (household survey data) (GPIA)",5,2,5
"Survival rate to the last grade of primary education, female (%)",5,1,5
"Completion rate, upper secondary education, second quintile, male (%)",5,1,5
"Completion rate, primary education, urban, poorest quintile, male (%)",5,1,5
"Completion rate, upper secondary education, urban, second quintile, male (%)",5,2,5
"Gross enrolment ratio, post-secondary non-tertiary, male (%)",5,1,5
LPSEV = SD: ANER; LD: PIRLS 2001 for grade 4 using MPL Low (400 points) for reading; Male,5,1,5
LD = PIRLS 2006 for grade 4 using MPL Low (400 points) for reading;,5,1,5
"Completion rate, upper secondary education, richest quintile, adjusted gender parity index (GPIA)",5,1,5
"Oceania: Students from Palau, both sexes (number)",5,1,5
"Out-of-school rate for adolescents of lower secondary school age, urban, both sexes (household survey data) (%)",5,1,5
"Out-of-school rate for adolescents of lower secondary school age, urban, female, adjusted wealth parity index (household survey data) (WPIA)",5,2,4
"Total net attendance rate, primary education, rural, female, adjusted wealth parity index (WPIA)",5,2,5
"Total net attendance rate, primary education, middle quintile, female, adjusted location parity index (LPIA)",5,1,5
"Total net attendance rate, primary, male (%)",5,2,5
"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)",5,2,4
"Educational attainment rate, completed upper secondary education or higher, population 25+ years, male (%)",5,1,5
"Europe: Students from Slovakia, both sexes (number)",5,2,4
"Adjusted net attendance rate, one year before the official primary entry age, rural, fourth quintile, both sexes (%)",5,1,5
"Out-of-school rate for youth of upper secondary school age, urban, middle quintile, both sexes (household survey data) (%)",5,1,5
"Adjusted net attendance rate, one year before the official primary entry age, rural, richest quintile, male (%)",5,2,5
"Completion rate, primary education, rural, male, adjusted wealth parity index (WPIA)",5,2,5
"Out-of-school rate for children of primary school age, primary education, rural, second quintile, adjusted gender parity index (household survey data) (GPIA)",5,1,5
"Teachers in tertiary education ISCED 6, 7 and 8 programmes, both sexes (number)",5,1,5
"Government expenditure on secondary and post-secondary non-tertiary vocational education only, constant PPP$ (millions)",5,1,5
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)",5,1,5
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, did not speak the language of the test at home, both sexes (%)",5,1,5
"Asia: Students from Hong Kong, Special Administrative Region of China, both sexes (number)",5,1,5
"Caribbean and Central America: Students from Grenada, both sexes (number)",5,1,5
"Africa: Students from Guinea-Bissau, both sexes (number)",5,2,5
"Africa: Students from Gabon, both sexes (number)",5,1,5
"Completion rate, lower secondary education, urban, both sexes (%)",5,1,5
"Total net attendance rate, lower secondary education, urban, second quintile, adjusted gender parity index (GPIA)",5,2,5
"Gross enrolment ratio, primary and lower secondary, female (%)",5,1,5
"Educational attainment rate, completed upper secondary education or higher, population 25+ years, female (%)",5,1,5
"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, female (%)",4,1,4
"Total net attendance rate, primary, second quintile, both sexes (%)",4,1,4
"Survival Rate from Age 15-60, Male",4,1,4
"Completion rate, lower secondary education, urban, second quintile, female (%)",4,1,4
"Survival Rate from Age 15-60, Female",4,1,4
LD = PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,4,1,4
Human Capital Index (HCI) (scale 0-1),4,1,4
"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",4,1,4
LPSEV = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,4,1,4
"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",4,2,3
LDGAP: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading;,4,1,4
"Completion rate, primary education, urban, richest quintile, female (%)",4,1,4
"Completion rate, primary education, urban, fourth quintile, both sexes (%)",4,1,4
"Out-of-school rate for youth of upper secondary school age, urban, richest quintile, adjusted gender parity index (household survey data) (GPIA)",4,1,4
"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, adjusted location parity index (LPIA)",4,1,4
"Out-of-school rate for youth of upper secondary school age, second quintile, adjusted location parity index (household survey data) (LPIA)",4,1,4
"Out-of-school rate for adolescents of lower secondary school age, rural, adjusted gender parity index (household survey data) (GPIA)",4,1,4
"Out-of-school rate for adolescents of lower secondary school age, poorest quintile, female (household survey data) (%)",4,1,4
"Out-of-school rate for adolescents of lower secondary school age, rural, fourth quintile, both sexes (household survey data) (%)",4,1,4
"Total net attendance rate, primary, fourth quintile, female (%)",4,2,4
"Total net attendance rate, lower secondary, urban, poorest quintile, female (%)",4,1,4
"Youth illiterate population, 15-24 years, male (number)",4,1,4
"Total net attendance rate, primary education, second quintile, female, adjusted location parity index (LPIA)",4,1,4
"Total net attendance rate, upper secondary, adjusted location parity index (LPIA)",4,1,4
"Total net attendance rate, upper secondary education, urban, middle quintile, adjusted gender parity index (GPIA)",4,1,4
"Total net attendance rate, upper secondary, adjusted wealth parity index (WPIA)",4,1,4
"Total net attendance rate, primary education, rural, middle quintile, adjusted gender parity index (GPIA)",4,1,4
"Total net attendance rate, primary education, middle quintile, adjusted location parity index (LPIA)",4,1,4
"Out-of-school rate for children of primary school age, middle quintile, female, adjusted location parity index (household survey data) (LPIA)",4,1,4
"Out-of-school rate for youth of upper secondary school age, female, adjusted location parity index (household survey data) (LPIA)",4,1,4
"Out-of-school rate for youth of upper secondary school age, middle quintile, female (household survey data) (%)",4,2,3
Learning-Adjusted Years of School,4,1,4
"Out-of-school rate for youth of upper secondary school age, urban, adjusted wealth parity index (household survey data) (WPIA)",4,2,4
"Out-of-school rate for children of primary school age, richest quintile, female (household survey data) (%)",4,1,4
"Total net attendance rate, primary, urban, female (%)",4,1,4
"Total net attendance rate, upper secondary education, urban, adjusted gender parity index (GPIA)",4,1,4
"Completion rate, lower secondary education, urban, richest quintile, adjusted gender parity index (GPIA)",4,1,4
"Completion rate, primary education, second quintile, adjusted gender parity index (GPIA)",4,1,4
"Gross attendance ratio for tertiary education, second quintile, male (%)",4,1,4
"Teacher attrition rate from primary education, both sexes (%)",4,2,3
"Net flow of internationally mobile students (inbound - outbound), both sexes (number)",4,1,4
"Learning-Adjusted Years of School, Female",4,1,4
"Out-of-school rate for youth of upper secondary school age, rural, male, adjusted wealth parity index (household survey data) (WPIA)",4,2,4
"Out-of-school rate for youth of upper secondary school age, richest quintile, adjusted location parity index (household survey data) (LPIA)",4,1,4
"Out-of-school rate for youth of upper secondary school age, richest quintile, male (household survey data) (%)",4,1,4
"Completion rate, lower secondary education, urban, middle quintile, female (%)",4,1,4
"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, male, adjusted location parity index (LPIA)",4,1,4
"Out-of-school rate for adolescents of lower secondary school age, poorest quintile, adjusted location parity index (household survey data) (LPIA)",4,1,4
"Out-of-school rate for adolescents of lower secondary school age, adjusted wealth parity index (household survey data) (WPIA)",4,1,4
"Out-of-school rate for adolescents of lower secondary school age, middle quintile, female (household survey data) (%)",4,2,4
"Out-of-school rate for adolescents of lower secondary school age, rural, poorest quintile, male (household survey data) (%)",4,1,4
"Out-of-school rate for adolescents of lower secondary school age, urban, fourth quintile, female (household survey data) (%)",4,1,4
"Completion rate, upper secondary education, rural, adjusted gender parity index (GPIA)",4,2,4
"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, female (%)",4,1,4
"Educational attainment rate, completed lower secondary education or higher, population 25+ years, both sexes (%)",4,1,4
"Government expenditure on tertiary education, PPP$ (millions)",4,1,4
"Completion rate, upper secondary education, fourth quintile, both sexes (%)",4,1,4
"Completion rate, primary education, urban, adjusted gender parity index (GPIA)",4,2,4
"Total net attendance rate, lower secondary education, middle quintile, male, adjusted location parity index (LPIA)",4,1,4
"Completion rate, upper secondary education, rural, second quintile, adjusted gender parity index (GPIA)",4,3,4
"Educational attainment rate, completed primary education or higher, population 25+ years, both sexes (%)",4,1,4
Probability of Survival to Age 5,4,1,4
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, very poor socioeconomic background, both sexes (%)",4,1,4
"Inbound internationally mobile students from North America and Western Europe, both sexes (number)",4,1,4
"Completion rate, lower secondary education, richest quintile, male (%)",4,1,4
"Human Capital Index (HCI), Lower Bound (scale 0-1)",4,1,4
Proportion of upper secondary schools with basic handwashing facilities (%),4,2,4
"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), male (%)",4,1,4
"Caribbean and Central America: Students from Antigua and Barbuda, both sexes (number)",4,1,4
Proportion of primary schools with basic handwashing facilities (%),4,2,4
"Probability of Survival to Age 5, Male",4,1,4
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, spoke the language of the test at home, both sexes (%)",4,1,4
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, rural areas, both sexes (%)",4,1,4
"Gross attendance ratio for tertiary education, richest quintile, male (%)",4,1,4
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, non-immigrant background, both sexes (%)",4,2,3
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, rural areas, both sexes (%)",4,2,3
"Completion rate, upper secondary education, fourth quintile, adjusted gender parity index (GPIA)",4,1,4
"Total net attendance rate, lower secondary, middle quintile, male (%)",4,1,4
"Total net attendance rate, lower secondary, middle quintile, both sexes (%)",4,2,4
"Total net attendance rate, lower secondary education, urban, richest quintile, adjusted gender parity index (GPIA)",4,1,4
"Total net attendance rate, lower secondary education, rural, adjusted gender parity index (GPIA)",4,2,4
"Total net attendance rate, primary education, adjusted wealth parity index (WPIA)",4,1,4
"Out-of-school rate for children of primary school age, second quintile, adjusted location parity index (household survey data) (LPIA)",4,1,4
"Out-of-school rate for children of primary school age, fourth quintile, female, adjusted location parity index (household survey data) (LPIA)",4,2,4
"Number of attacks on students, personnel and institutions",4,2,3
"Out-of-school rate for children of primary school age, rural, poorest quintile, female (household survey data) (%)",4,1,4
"Out-of-school rate for children of primary school age, rural, fourth quintile, both sexes (household survey data) (%)",4,1,4
"Out-of-school rate for children of primary school age, poorest quintile, male (household survey data) (%)",4,1,4
Population Age 10 for Reference Year 2019;,4,1,4
Population Age 0516 for Reference Year 2019; Female,4,1,4
"Out-of-school rate for children of primary school age, urban, fourth quintile, female (household survey data) (%)",4,1,4
"Out-of-school rate for adolescents of lower secondary school age, urban, fourth quintile, male (household survey data) (%)",4,2,4
"Total net attendance rate, lower secondary, second quintile, male (%)",4,1,4
"Completion rate, primary education, adjusted location parity index (LPIA)",4,1,4
"Completion rate, primary education, middle quintile, both sexes (%)",4,1,4
"Out-of-school rate for youth of upper secondary school age, urban, fourth quintile, adjusted gender parity index (household survey data) (GPIA)",4,1,4
"Completion rate, primary education, poorest quintile, both sexes (%)",4,1,4
"Adjusted net attendance rate, one year before the official primary entry age, urban, richest quintile, adjusted gender parity index (GPIA)",4,2,4
Initial household funding per tertiary student as a percentage of GDP per capita,4,1,4
"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, male (%)",4,1,4
"Adjusted net attendance rate, one year before the official primary entry age, urban, second quintile, female (%)",4,2,3
"Europe: Students from Montenegro, both sexes (number)",4,1,4
"Europe: Students from the United Kingdom, both sexes (number)",4,1,4
"Total net attendance rate, upper secondary, poorest quintile, female (%)",4,2,4
"Total net attendance rate, upper secondary, urban, poorest quintile, female (%)",4,1,4
"Total net attendance rate, upper secondary, rural, second quintile, female (%)",4,2,3
"Total net attendance rate, upper secondary, rural, richest quintile, both sexes (%)",4,1,4
"Total net attendance rate, upper secondary, rural, second quintile, male (%)",4,1,4
"Total net attendance rate, upper secondary education, urban, fourth quintile, adjusted gender parity index (GPIA)",4,1,4
"Total net attendance rate, upper secondary education, rural, male, adjusted wealth parity index (WPIA)",3,1,3
"Total net attendance rate, upper secondary education, second quintile, adjusted location parity index (LPIA)",3,1,3
"Total net attendance rate, upper secondary education, second quintile, male, adjusted location parity index (LPIA)",3,2,3
"Total net attendance rate, primary, urban, second quintile, male (%)",3,1,3
"Total net attendance rate, upper secondary education, fourth quintile, male, adjusted location parity index (LPIA)",3,1,3
"Total net attendance rate, primary, urban, both sexes (%)",3,2,3
"Total net attendance rate, primary, urban, middle quintile, male (%)",3,1,3
"Total net attendance rate, primary, urban, richest quintile, male (%)",3,1,3
"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for reading, Male",3,3,1
"Above Proficiency;PISA 2012 for grade 15Y using MPL Level 2 for science, Fifth Quintile",3,3,1
"Total net attendance rate, primary, rural, male  (%)",3,1,3
"Out-of-school rate for adolescents of lower secondary school age, urban, richest quintile, male (household survey data) (%)",3,1,3
"Out-of-school rate for adolescents of lower secondary school age, urban, male, adjusted wealth parity index (household survey data) (WPIA)",3,1,3
"Out-of-school rate for adolescents of lower secondary school age, urban, middle quintile, male (household survey data) (%)",3,1,3
"Total net attendance rate, upper secondary, urban, richest quintile, female (%)",3,2,3
"Total net attendance rate, primary education, female, adjusted wealth parity index (WPIA)",3,1,3
"Out-of-school rate for adolescents of lower secondary school age, richest quintile, female (household survey data) (%)",3,2,3
"Out-of-school rate for adolescents of lower secondary school age, richest quintile, female, adjusted location parity index (household survey data) (LPIA)",3,1,3
"Out-of-school rate for children of primary school age, second quintile, male, adjusted location parity index (household survey data) (LPIA)",3,1,3
"Out-of-school rate for children of primary school age, urban, middle quintile, male (household survey data) (%)",3,1,3
"Out-of-school rate for children of primary school age, rural, richest quintile, male (household survey data) (%)",3,1,3
"Out-of-school rate for children of primary school age, second quintile, male (household survey data) (%)",3,2,3
"Out-of-school rate for children of primary school age, rural, both sexes (household survey data) (%)",3,1,3
"Out-of-school rate for children of primary school age, rural, male, adjusted wealth parity index (household survey data) (WPIA)",3,1,3
"Out-of-school rate for children of primary school age, primary education, urban, poorest quintile, adjusted gender parity index (household survey data) (GPIA)",3,1,3
"Out-of-school rate for children of primary school age, richest quintile, adjusted gender parity index (household survey data) (GPIA)",3,1,3
"Out-of-school rate for children of primary school age, poorest quintile, both sexes (household survey data) (%)",3,1,3
"Out-of-school rate for children of primary school age, poorest quintile, female (household survey data) (%)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, female (%)",3,1,3
Teaching staff compensation as a percentage of total expenditure in public institutions (%),3,1,3
"Out-of-school rate for youth of upper secondary school age, urban, adjusted gender parity index (household survey data) (GPIA)",3,1,3
"Out-of-school rate for youth of upper secondary school age, middle quintile, male (household survey data) (%)",3,1,3
"Out-of-school rate for youth of upper secondary school age, fourth quintile, female, adjusted location parity index (household survey data) (LPIA)",3,1,3
"Out-of-school rate for youth of upper secondary school age, fourth quintile, male (household survey data) (%)",3,1,3
"Out-of-school rate for children one year younger than official primary entry age, female (%)",3,1,3
"Learning Deprivation Severity;TIMSS 2011 for grade 4 using MPL Low (400 points) for science, Female",3,3,1
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for science, Fourth Quintile",3,3,1
"Out-of-school rate for youth of upper secondary school age, urban, fourth quintile, female (household survey data) (%)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, adjusted gender parity index (GPIA)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, rural, second quintile, female (%)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, rural, second quintile, male (%)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, second quintile, adjusted location parity index (LPIA)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, rural, poorest quintile, female (%)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, rural, richest quintile, both sexes (%)",3,2,3
"Adjusted net attendance rate, one year before the official primary entry age, rural, richest quintile, female (%)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, female, adjusted location parity index (LPIA)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, adjusted location parity index (LPIA)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, urban, richest quintile, female (%)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, urban, second quintile, both sexes (%)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, urban, second quintile, male (%)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, urban, fourth quintile, female (%)",3,2,2
"Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for reading, Female",3,3,1
Population Age 1014 for Reference Year 2019;,3,1,3
Population Age 9plus for Reference Year 2019;,3,1,3
"Percentage of qualified teachers in pre-primary education, male (%)",3,1,3
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",3,1,3
"Total net attendance rate, lower secondary, urban, middle quintile, male (%)",3,1,3
"Total net attendance rate, lower secondary, rural, fourth quintile, male (%)",3,1,3
"Total net attendance rate, lower secondary education, urban, fourth quintile, adjusted gender parity index (GPIA)",3,1,3
"Total net attendance rate, lower secondary education, second quintile, adjusted location parity index (LPIA)",3,1,3
"Total net attendance rate, lower secondary education, urban, adjusted gender parity index (GPIA)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, female, adjusted location parity index (LPIA)",3,2,3
"Africa: Students from Libya, both sexes (number)",3,1,3
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, male (%)",3,1,3
Proportion of lower secondary schools with access to basic drinking water (%),3,1,3
Proportion of lower secondary schools with basic handwashing facilities (%),3,1,3
"Proportion of youth and adults who have wrote a computer program using a specialised programming language, female (%)",3,1,3
"Proportion of youth and adults who have copied or moved a file or folder, male (%)",3,1,3
"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, female (%)",3,1,3
"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in mathematics, rural areas, both sexes (%)",3,2,2
"Africa: Students from Senegal, both sexes (number)",3,1,3
"Completion rate, lower secondary education, second quintile, male, adjusted location parity index (LPIA)",3,2,3
"Completion rate, lower secondary education, urban, fourth quintile, female (%)",3,1,3
"Completion rate, lower secondary education, fourth quintile, female, adjusted location parity index (LPIA)",3,1,3
"Completion rate, lower secondary education, fourth quintile, male (%)",3,1,3
"Completion rate, lower secondary education, middle quintile, adjusted gender parity index (GPIA)",3,1,3
"Completion rate, lower secondary education, adjusted location parity index (LPIA)",3,1,3
"Completion rate, lower secondary education, both sexes (%)",3,1,3
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, First Quintile",3,3,1
"Asia: Students from China, both sexes (number)",3,1,3
"Completion rate, primary education, fourth quintile, male (%)",3,1,3
"Completion rate, primary education, urban, richest quintile, both sexes (%)",3,1,3
"Completion rate, primary education, urban, richest quintile, male (%)",3,1,3
"South America: Students from the Plurinational State of Bolivia, both sexes (number)",3,2,3
"Completion rate, primary education, rural, fourth quintile, adjusted gender parity index (GPIA)",3,1,3
"Completion rate, lower secondary education, urban, male, adjusted wealth parity index (WPIA)",3,1,3
"Completion rate, lower secondary education, urban, poorest quintile, female (%)",3,1,3
"Completion rate, lower secondary education, second quintile, female, adjusted location parity index (LPIA)",3,1,3
LD = LLECES 2019 for grade 6 using MPL III (SERCE scale) for reading;,3,1,3
"Completion rate, primary education, richest quintile, female (%)",3,1,3
"Completion rate, primary education, richest quintile, female, adjusted location parity index (LPIA)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, male (%)",3,1,3
"Adjusted net attendance rate, one year before the official primary entry age, male, adjusted location parity index (LPIA)",3,1,3
"Out-of-school rate for adolescents of lower secondary school age, fourth quintile, male (household survey data) (%)",3,1,3
"Out-of-school rate for adolescents of lower secondary school age, second quintile, male, adjusted location parity index (household survey data) (LPIA)",3,1,3
"Out-of-school rate for adolescents of lower secondary school age, rural, poorest quintile, adjusted gender parity index (household survey data) (GPIA)",3,1,3
"Out-of-school rate for adolescents of lower secondary school age, rural, richest quintile, female (household survey data) (%)",3,1,3
"Completion rate, primary education, rural, second quintile, female (%)",3,1,3
"Completion rate, upper secondary education, poorest quintile, adjusted gender parity index (GPIA)",3,1,3
"Initial government funding per lower secondary student, constant PPP$",3,1,3
"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",3,1,3
LP = SD: ANER; LD: LLECES 2019 for grade 6 using MPL III (SERCE scale) for reading;,3,1,3
LP = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Male,3,1,3
LDSEV: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Male,3,1,3
"Completion rate, upper secondary education, urban, poorest quintile, adjusted gender parity index (GPIA)",3,1,3
"Completion rate, upper secondary education, urban, poorest quintile, both sexes (%)",3,1,3
"Completion rate, upper secondary education, second quintile, female, adjusted location parity index (LPIA)",3,1,3
"Completion rate, upper secondary education, rural, richest quintile, adjusted gender parity index (GPIA)",3,1,3
"Gross attendance ratio for tertiary education, urban, poorest quintile, male (%)",3,1,3
"Inbound internationally mobile students from unknown regions, both sexes (number)",3,1,3
"Completion rate, primary education, urban, poorest quintile, both sexes (%)",3,1,3
"Completion rate, primary education, urban, poorest quintile, female (%)",3,1,3
"Completion rate, primary education, urban, both sexes (%)",3,1,3
"Completion rate, primary education, urban, female, adjusted wealth parity index (WPIA)",3,1,3
"Completion rate, primary education, rural, richest quintile, female (%)",3,1,3
"Completion rate, upper secondary education, rural, second quintile, both sexes (%)",3,2,3
"Completion rate, upper secondary education, fourth quintile, female, adjusted location parity index (LPIA)",3,1,3
"Completion rate, upper secondary education, urban, richest quintile, both sexes (%)",3,1,3
"Total net attendance rate, upper secondary, urban, female (%)",3,1,3
"Total net attendance rate, upper secondary, male, adjusted wealth parity index (WPIA)",3,1,3
"Fraction of Children Under 5 Not Stunted, Female",3,1,3
"Fraction of Children Under 5 Not Stunted, Male",3,1,3
"Total net attendance rate, primary, rural, middle quintile, male (%)",3,1,3
"Total net attendance rate, primary, poorest quintile, male (%)",3,1,3
"Total net attendance rate, primary education, richest quintile, adjusted location parity index (LPIA)",3,1,3
"Total net attendance rate, primary education, rural, male, adjusted wealth parity index (WPIA)",3,1,3
"Total net attendance rate, primary education, male, adjusted wealth parity index (WPIA)",3,1,3
"Total net attendance rate, primary education, middle quintile, adjusted gender parity index (GPIA)",3,1,3
"Total net attendance rate, primary education, poorest quintile, male, adjusted location parity index (LPIA)",3,1,3
"Total net attendance rate, upper secondary education, rural, female, adjusted wealth parity index (WPIA)",3,2,3
"Total net attendance rate, upper secondary education, urban, male, adjusted wealth parity index (WPIA)",3,1,3
"Total net enrolment rate, upper secondary, female (%)",3,1,3
"Above Proficiency;PISA 2009 for grade 15Y using MPL Level 2 for math, Urban",3,3,1
"Above Proficiency;PIRLS 2001 for grade 4 using MPL Low (400 points) for reading, Female",2,2,1
"Proportion of population achieving at least a fixed level of proficiency in functional numeracy skills, immigrant background (%)",2,2,2
Population Age primary for Reference Year 2019; Female,2,1,2
"Out-of-school rate for children of primary school age, middle quintile, adjusted gender parity index (household survey data) (GPIA)",2,1,2
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Second Quintile",2,2,1
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, non-immigrant background, both sexes (%)",2,1,2
"Learning Deprivation Severity;PISA 2012 for grade 15Y using MPL Level 2 for science, Fifth Quintile",2,2,1
"Learning Deprivation Gap;TIMSS 2007 for grade 8 using MPL Low (400 points) for science, Fourth Quintile",2,2,1
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for reading, Third Quintile",2,2,1
"Learning Deprivation Severity;TIMSS 2003 for grade 8 using MPL Low (400 points) for science, Female",2,2,1
"Learning Deprivation Severity;TIMSS 2019 for grade 8 using MPL Low (400 points) for science, Male",2,2,1
"Learning Deprivation Gap;TIMSS 2007 for grade 8 using MPL Low (400 points) for science, Third Quintile",2,2,1
Above Proficiency;PISA 2000 for grade 15Y using MPL Level 2 for math,2,2,1
"Total net attendance rate, primary education, second quintile, male, adjusted location parity index (LPIA)",2,1,2
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, very affluent socioeconomic background, both sexes (%)",2,1,2
"Out-of-school rate for youth of upper secondary school age, poorest quintile, both sexes (household survey data) (%)",2,1,2
"Learning Deprivation Gap;TIMSS 2015 for grade 4 using MPL Low (400 points) for science, Rural",2,2,1
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for reading, Male",2,2,1
"Learning Deprivation Gap;TIMSS 2015 for grade 4 using MPL Low (400 points) for science, Urban",2,2,1
"Above Proficiency;PISA 2015 for grade 15Y using MPL Level 2 for reading, Fourth Quintile",2,2,1
Percentage of enrolment in tertiary education in private institutions (%),2,1,2
"Learning Deprivation Severity;TIMSS 2015 for grade 4 using MPL Low (400 points) for science, Urban",2,2,1
"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",2,1,2
"Learning Deprivation Severity;TIMSS 2015 for grade 8 using MPL Low (400 points) for math, Fifth Quintile",2,2,1
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for math, Fifth Quintile",2,2,1
"Above Proficiency;PISA 2009 for grade 15Y using MPL Level 2 for science, Second Quintile",2,2,1
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Fourth Quintile",2,2,1
"Out-of-school rate for youth of upper secondary school age, middle quintile, male, adjusted location parity index (household survey data) (LPIA)",2,1,2
"Above Proficiency;PISA 2012 for grade 15Y using MPL Level 2 for reading, Second Quintile",2,2,1
"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, very affluent socioeconomic background, both sexes (%)",2,2,1
"Out-of-school rate for youth of upper secondary school age, rural, male (household survey data) (%)",2,1,2
"Total net attendance rate, primary education, urban, richest quintile, adjusted gender parity index (GPIA)",2,1,2
"Total net attendance rate, primary, both sexes (%)",2,1,2
"Out-of-school rate for youth of upper secondary school age, rural, middle quintile, adjusted gender parity index (household survey data) (GPIA)",2,1,2
"Total net attendance rate, primary, richest quintile, female (%)",2,1,2
"Out-of-school rate for youth of upper secondary school age, rural, second quintile, adjusted gender parity index (household survey data) (GPIA)",2,2,2
"Above Proficiency;PISA 2009 for grade 15Y using MPL Level 2 for reading, Fourth Quintile",2,2,1
"Out-of-school rate for youth of upper secondary school age, rural, second quintile, both sexes (household survey data) (%)",2,2,2
"Out-of-school rate for youth of upper secondary school age, second quintile, female, adjusted location parity index (household survey data) (LPIA)",2,1,2
"Out-of-school rate for youth of upper secondary school age, urban, female (household survey data) (%)",2,1,2
"Total net attendance rate, primary education, richest quintile, adjusted gender parity index (GPIA)",2,1,2
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Urban",2,2,1
"Total net attendance rate, primary education, rural, poorest quintile, adjusted gender parity index (GPIA)",2,1,2
"Total net attendance rate, primary education, rural, richest quintile, adjusted gender parity index (GPIA)",2,1,2
"Oceania: Students from the Solomon Islands, both sexes (number)",2,1,2
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for math, Second Quintile",2,2,1
"Out-of-school rate for adolescents of lower secondary school age, rural, middle quintile, female (household survey data) (%)",2,1,2
"Out-of-school rate for youth of upper secondary school age, adjusted gender parity index (household survey data) (GPIA)",2,2,2
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for science, Fourth Quintile",2,2,1
"Out-of-school rate for adolescents of lower secondary school age, urban, female (household survey data) (%)",2,1,2
"Learning Deprivation Gap;TIMSS 2007 for grade 4 using MPL Low (400 points) for math, Female",2,2,1
"Out-of-school rate for youth of upper secondary school age, fourth quintile, female (household survey data) (%)",2,1,2
