Indicator name,non_null_values,countries_covered,years_covered
"North America: Students from unknown countries, both sexes (number)",40,3,22
"Out-of-school rate for youth of upper secondary school age, female (%)",40,2,24
Capital expenditure as a percentage of total expenditure in pre-primary public institutions (%),40,3,20
Government expenditure on education as a percentage of GDP (%),40,3,23
"Adjusted net enrolment rate, one year before the official primary entry age, male (%)",39,3,25
"Gross enrolment ratio, upper secondary, female (%)",39,2,29
"Gross enrolment ratio, upper secondary, both sexes (%)",39,2,27
"Total net enrolment rate, lower secondary, female (%)",39,2,26
"Repetition rate in Grade 1 of lower secondary general education, both sexes (%)",39,2,37
"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",39,2,23
"Asia: Students from Bangladesh, both sexes (number)",39,3,24
"Oceania: Students from Fiji, both sexes (number)",38,2,24
"Enrolment in post-secondary non-tertiary education, both sexes (number)",38,3,24
"Total net enrolment rate, upper secondary, both sexes (%)",38,2,25
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",38,2,36
"Gross intake ratio to the last grade of primary education, male (%)",38,2,27
"Inbound internationally mobile students from sub-Saharan Africa, both sexes (number)",38,3,24
"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, both sexes (%)",37,2,20
Percentage of enrolment in early childhood educational development programmes in private institutions (%),37,2,24
"School life expectancy, pre-primary, male (years)",37,1,37
"Repetition rate in Grade 3 of lower secondary general education, female (%)",37,1,37
"Total net enrolment rate, upper secondary, male (%)",37,2,24
Current expenditure other than staff compensation as a percentage of total expenditure in secondary public institutions (%),37,3,23
Government expenditure on primary education as a percentage of GDP (%),36,1,36
"Asia: Students from Maldives, both sexes (number)",36,2,23
Number of years of free pre-primary education guaranteed in legal frameworks,36,2,20
Percentage of teachers in lower secondary education who are female (%),36,3,24
"Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, male (%)",36,3,22
"Completion rate, upper secondary education, adjusted location parity index (LPIA)",36,2,23
"Caribbean and Central America: Students from the Turks and Caicos Islands, both sexes (number)",36,2,24
"Out-of-school rate for children of primary school age, female (%)",36,1,36
All staff compensation as a percentage of total expenditure in tertiary public institutions (%),36,2,24
"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",35,1,35
"Repeaters in Grade 6 of primary education, female (number)",35,1,35
"Asia: Students from Armenia, both sexes (number)",35,2,22
"Proportion of teachers with the minimum required qualifications in pre-primary education, female (%)",35,3,21
"Enrolment in early childhood educational development programmes, male (number)",35,2,25
Non-teaching staff compensation as a percentage of total expenditure in tertiary public institutions (%),35,3,23
"Completion rate, lower secondary education, female (%)",34,1,34
"Initial government funding per pre-primary student, constant PPP$",34,2,23
"Asia: Students from Uzbekistan, both sexes (number)",34,4,23
"Proportion of 15- to 24-year-olds enrolled in vocational education, female (%)",34,2,32
"Completion rate, primary education, male (%)",34,1,34
"Completion rate, upper secondary education, both sexes (%)",33,1,33
Proportion of lower secondary schools with access to electricity (%),33,3,23
"Africa: Students from Morocco, both sexes (number)",33,5,20
"Repeaters in Grade 2 of lower secondary general education, both sexes (number)",33,1,33
"Out-of-school youth of upper secondary school age, both sexes (number)",33,3,24
"Percentage of graduates from tertiary education graduating from Agriculture, Forestry, Fisheries and Veterinary programmes, both sexes (%)",33,3,16
"Repeaters in Grade 1 of primary education, male (number)",33,1,33
"Asia: Students from the Philippines, both sexes (number)",33,2,24
Current expenditure as a percentage of total expenditure in tertiary public institutions (%),32,3,17
"Completion rate, primary education, female (%)",32,1,32
"Out-of-school rate for children one year younger than official primary entry age, both sexes (%)",32,2,24
"Adult illiterate population, 15+ years, % female",32,2,23
All staff compensation as a percentage of total expenditure in secondary public institutions (%),32,3,22
"Proportion of teachers with the minimum required qualifications in pre-primary education, male (%)",32,3,25
"Proportion of teachers with the minimum required qualifications in secondary education, both sexes (%)",32,4,23
"Caribbean and Central America: Students from Cuba, both sexes (number)",32,2,25
"Repeaters in Grade 4 of lower secondary general education, male (number)",32,2,27
"Out-of-school rate for adolescents of lower secondary school age, urban, poorest quintile, both sexes (household survey data) (%)",32,2,21
"Repetition rate in Grade 4 of lower secondary general education, both sexes (%)",31,1,31
"Oceania: Students from the Marshall Islands, both sexes (number)",31,3,19
"Asia: Students from Japan, both sexes (number)",31,2,22
"Enrolment in primary education, male (number)",31,1,31
"Teachers in upper secondary education, both sexes (number)",31,3,22
"Asia: Students from Viet Nam, both sexes (number)",31,2,24
"Government expenditure on post-secondary non-tertiary education, constant US$ (millions)",31,2,22
"Survival rate to Grade 5 of primary education, male (%)",31,1,31
"Repetition rate in Grade 5 of primary education, female (%)",31,1,31
"Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, both sexes (%)",31,2,24
Percentage of teachers in pre-primary education who are female (%),30,1,30
