economy,Country name,Indicator name,UNIT_MEASURE,UNIT_TYPE,Year,Value
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1976,4.785860061645508
BTN,Bhutan,"School age population, secondary education, female (number)",,,1976,17688.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1976,15641.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1976,356157.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1976,52174.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1976,91535.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1976,374320.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1976,50495416.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1976,3815.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1976,2557705.0
FIN,Finland,"School age population, secondary education, female (number)",,,1976,228913.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1976,7817423.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1976,52378.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1976,8249.0
LBY,Libya,"School age population, secondary education, female (number)",,,1976,157521.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1976,219327.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1976,372337.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1976,185447.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1976,35100.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1976,508007.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1976,53034.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1976,1079609.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1977,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1977,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1977,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1977,0.0
BOL,Bolivia,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1977,0.0
CRI,Costa Rica,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1977,0.0
GUY,Guyana,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1977,0.0
