economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency,EII_band,OUTCOME_band,Efficiency_band,EII_high,OUTCOME_high,Efficiency_high
GTM,Guatemala,Latin America & Caribbean,Upper middle income,IBRD,-0.18988654699061805,110,-0.33335841771832136,7,3.8552068172306995,-0.08646965870375324,1.0,1.0,1.0,0,0,0
JAM,Jamaica,Latin America & Caribbean,Upper middle income,IBRD,0.11783579921794911,105,-0.3215921907175347,7,4.162929163439267,-0.07725142035610486,1.0,1.0,1.0,0,0,0
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,Blend,-0.08734108085329677,100,-0.29790048840789257,7,3.9577522833680208,-0.07527011977474782,1.0,1.0,1.0,0,0,0
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.37467362443412777,101,-0.29876442457324626,7,4.419766988655446,-0.06759732477755226,2.0,1.0,1.0,1,0,0
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IDA,-0.9762498968438063,100,-0.20285648884358504,1,3.068843467377511,-0.06610193416509987,0.0,1.0,1.0,0,0,0
ASM,American Samoa,East Asia & Pacific,High income,,-0.9599079742867787,34,-0.20285648884358504,1,3.085185389934539,-0.06575179874292392,0.0,1.0,1.0,0,0,0
VGB,British Virgin Islands,Latin America & Caribbean,High income,,-0.8871769815278691,78,-0.20285648884358504,1,3.1579163826934487,-0.06423744781695732,0.0,1.0,1.0,0,0,0
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,IBRD,-0.8499889816117256,43,-0.20285648884358504,1,3.1951043826095917,-0.06348978454278312,0.0,1.0,1.0,0,0,0
CYM,Cayman Islands,Latin America & Caribbean,High income,,-0.8466632368442164,74,-0.20285648884358504,1,3.198430127377101,-0.06342376752495738,0.0,1.0,1.0,0,0,0
STP,S�o Tom� and Pr�ncipe,Sub-Saharan Africa,Lower middle income,IDA,-0.8321035691985976,88,-0.20285648884358504,1,3.21298979502272,-0.0631363626357707,0.0,1.0,1.0,0,0,0
BMU,Bermuda,North America,High income,,-0.6557208714376518,83,-0.20285648884358504,1,3.3893724927836657,-0.05985075092085277,0.0,1.0,1.0,0,0,0
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,,-0.6359607322251417,110,-0.20285648884358504,1,3.409132631996176,-0.05950384180999285,0.0,1.0,1.0,0,0,0
MCO,Monaco,Europe & Central Asia,High income,,-0.5661073309500477,93,-0.20285648884358504,1,3.47898603327127,-0.05830908399848914,0.0,1.0,1.0,0,0,0
ERI,Eritrea,Sub-Saharan Africa,Low income,IDA,-0.5623674415549251,68,-0.20285648884358504,1,3.4827259226663925,-0.05824646938863254,0.0,1.0,1.0,0,0,0
BLZ,Belize,Latin America & Caribbean,Upper middle income,Blend,-0.48552366588391893,98,-0.20285648884358504,1,3.559569698337399,-0.056989048125208816,0.0,1.0,1.0,0,0,0
LIE,Liechtenstein,Europe & Central Asia,High income,,-0.4814541163035363,79,-0.20285648884358504,1,3.563639247917781,-0.056923968654266334,0.0,1.0,1.0,0,0,0
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,Blend,-0.3986899161526754,103,-0.20285648884358504,1,3.646403448068642,-0.05563193753314111,0.0,1.0,1.0,0,0,0
SMR,San Marino,Europe & Central Asia,High income,,-0.3676070739313725,110,-0.20285648884358504,1,3.677486290289945,-0.055161725382691006,0.0,1.0,1.0,0,0,0
AND,Andorra,Europe & Central Asia,High income,,-0.2997766873214742,83,-0.20285648884358504,1,3.7453166768998436,-0.05416270674646874,0.0,1.0,1.0,0,0,0
ABW,Aruba,Latin America & Caribbean,High income,,-0.25353537096897366,101,-0.20285648884358504,1,3.791557993252344,-0.053502145873701286,1.0,1.0,1.0,0,0,0
BRB,Barbados,Latin America & Caribbean,High income,IBRD,-0.24610250412004278,105,-0.20285648884358504,1,3.798990860101275,-0.05339746693630561,1.0,1.0,1.0,0,0,0
MDV,Maldives,South Asia,Upper middle income,IDA,-0.21801411892981912,110,-0.20285648884358504,1,3.8270792452914986,-0.05300556268678309,1.0,1.0,1.0,0,0,0
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,Blend,-0.3762809537607824,105,-0.18495897132586378,7,3.6688124104605353,-0.05041385348526076,0.0,1.0,1.0,0,0,0
SUR,Suriname,Latin America & Caribbean,Upper middle income,Blend,0.05531004242235531,2,-0.20285648884358504,1,4.100403406643673,-0.04947232472661277,1.0,1.0,1.0,0,0,0
VEN,"Venezuela, RB",Latin America & Caribbean,,IBRD,0.12774032382701603,84,-0.20285648884358504,1,4.172833688048334,-0.04861360504843474,1.0,1.0,1.0,0,0,0
BOL,Bolivia,Latin America & Caribbean,Lower middle income,IBRD,0.2584366745917728,107,-0.20285648884358504,1,4.30353003881309,-0.04713723083469697,2.0,1.0,1.0,1,0,0
IND,India,South Asia,Lower middle income,IBRD,0.613663586721278,106,-0.21694291593303766,7,4.658756950942596,-0.046566695411990544,2.0,1.0,1.0,1,0,0
GIB,Gibraltar,Europe & Central Asia,High income,,0.40833091745097727,14,-0.20285648884358504,1,4.453424281672294,-0.04555067651614162,2.0,1.0,1.0,1,0,0
CUB,Cuba,Latin America & Caribbean,Upper middle income,,0.4715332733107744,59,-0.20214537580964087,1,4.516626637532092,-0.04475583040888546,2.0,1.0,1.0,1,0,0
KIR,Kiribati,East Asia & Pacific,Lower middle income,IDA,-0.8519258633349461,29,-0.10038003555147242,7,3.1931675008863714,-0.0314358816202434,0.0,1.0,1.0,0,0,0
MMR,Myanmar,East Asia & Pacific,Lower middle income,IDA,-0.08778783558141554,110,-0.10859028117641747,7,3.957305528639902,-0.027440459269703947,1.0,1.0,1.0,0,0,0
MKD,North Macedonia,Europe & Central Asia,Upper middle income,IBRD,-0.6258418280626309,51,-0.09225289661647741,7,3.419251536158687,-0.02698043581786841,0.0,1.0,1.0,0,0,0
GRD,Grenada,Latin America & Caribbean,Upper middle income,Blend,-0.3118859754129239,88,-0.07329784552092922,7,3.7332073888083936,-0.019634013835037767,0.0,1.0,1.0,0,0,0
GAB,Gabon,Sub-Saharan Africa,Upper middle income,IBRD,-0.3554539188896301,81,-0.054288129661545656,7,3.6896394453316876,-0.014713667952090455,0.0,1.0,1.0,0,0,0
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.4083518430092351,92,-0.05999918991152627,7,4.453445207230553,-0.01347253353743129,2.0,1.0,1.0,1,0,0
BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,0.41214798301995637,99,-0.056673808052576144,5,4.457241347241274,-0.012714996482668217,2.0,1.0,1.0,1,0,0
LKA,Sri Lanka,South Asia,Lower middle income,IDA,-0.3823383383336249,110,-0.04048239542967899,3,3.6627550258876926,-0.01105244416936342,0.0,1.0,1.0,0,0,0
GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,-0.13128770575267792,65,-0.03204866264944878,7,3.9138056584686396,-0.008188618814044157,1.0,1.0,1.0,0,0,0
DMA,Dominica,Latin America & Caribbean,Upper middle income,Blend,-0.6021278592946602,98,-0.015326897231938945,6,3.4429655049266574,-0.0044516557630354305,0.0,1.0,1.0,0,0,0
TJK,Tajikistan,Europe & Central Asia,Lower middle income,IDA,-0.034422810399701895,46,0.003698657780450393,7,4.010670553821615,9.222043373585204E-4,1.0,1.0,1.0,0,0,0
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,1.614128868959949,80,0.0063076793545161335,7,5.659222233181266,0.0011145841415332342,2.0,1.0,1.0,1,0,0
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,0.2483094311087283,87,0.006940223529207391,7,4.293402795330046,0.0016164855384070427,2.0,1.0,1.0,1,0,0
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,0.13680018619216874,28,0.013909158227657965,7,4.181893550413486,0.00332604310941456,1.0,1.0,1.0,0,0,0
KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA,-0.3027179020465032,97,0.026075888635286315,3,3.7423754621748144,0.006967737176251359,0.0,1.0,1.0,0,0,0
IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD,0.4228407755255653,108,0.03739460796870892,7,4.467934139746883,0.008369552191032833,2.0,1.0,1.0,1,0,0
