economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency
SGP,Singapore,East Asia & Pacific,High income,,0.5062464461655692,58,0.5454027297865998,1172,4.551339810386885,0.11983344520703629
NAM,Namibia,Sub-Saharan Africa,Lower middle income,IBRD,-0.6212695708852928,114,0.16260200453783588,1304,3.4238237933360236,0.04749134720493417
PRT,Portugal,Europe & Central Asia,High income,,0.3348696134960492,111,-0.015881671320955228,1137,4.379962977717366,-0.0036259830052791956
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Blend,0.01600366450855971,57,0.247545583126518,1301,4.0610970287298755,0.060955348117830835
TUV,Tuvalu,East Asia & Pacific,Upper middle income,IDA,-0.8476538512405655,59,-1.1933477359976885,1133,3.197439512980751,-0.37321980014102385
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,-0.2295659187354441,82,-0.21633010175547332,671,3.815527445485872,-0.0566972993501625
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,0.6723079132151534,59,-0.34907465992548253,1342,4.717401277436469,-0.07399723690988966
PRI,Puerto Rico (U.S.),Latin America & Caribbean,High income,,0.4662311710901111,110,0.1742971083023125,264,4.511324535311427,0.038635462143775993
BRB,Barbados,Latin America & Caribbean,High income,IBRD,-0.1851921213265796,111,-0.7975335900701958,1213,3.8599012428947366,-0.20662020603202913
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa,Low income,IDA,-1.8695498746132257,11,-0.6784112459908119,554,2.1755434896080903,-0.3118352950567875
GUY,Guyana,Latin America & Caribbean,High income,IDA,-0.23680712720237274,93,0.2354029452746558,1224,3.8082862370189434,0.06181335399277259
VGB,British Virgin Islands,Latin America & Caribbean,High income,,-0.9163697187765726,82,-0.4426357745155571,218,3.128723645444744,-0.14147487112197057
NER,Niger,Sub-Saharan Africa,Low income,IDA,-0.010386596731699355,116,-0.4287222073775212,1447,4.034706767489617,-0.10625857889649586
LVA,Latvia,Europe & Central Asia,High income,,0.2849748779296321,104,0.014000915829670781,1109,4.330068242150949,0.0032334168993872177
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,,-0.2322630160012479,75,0.07213948607985661,739,3.8128303482200683,0.018920193004006398
BOL,Bolivia,Latin America & Caribbean,Lower middle income,IBRD,0.25843667459177283,107,0.11235642548795724,1214,4.303530038813089,0.026107968220188158
IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD,0.4408058784259341,114,-0.14937063227173097,2126,4.485899242647251,-0.03329781258831469
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.35429243953812406,107,0.24935442033778088,678,4.39938580375944,0.056679371044180346
PLW,Palau,East Asia & Pacific,High income,IBRD,-0.8344319075455875,49,-0.35697168977575,223,3.2106614566757288,-0.11118322333035797
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,-0.02245469011776682,102,-0.1490041479589201,1940,4.02263867410355,-0.037041394972449494
CHL,Chile,Latin America & Caribbean,High income,IBRD,0.39088528053399185,116,-0.18837719031001282,1784,4.435978644755308,-0.042465756802669154
HRV,Croatia,Europe & Central Asia,High income,IBRD,-0.024824757008458938,85,-0.0859651463090567,933,4.0202686072128575,-0.021382935994581215
JAM,Jamaica,Latin America & Caribbean,Upper middle income,IBRD,0.13901967753866667,107,0.0830921171036083,1245,4.184113041759983,0.019858956073676458
NPL,Nepal,South Asia,Lower middle income,IDA,-0.09793253183527996,116,0.2743035862044055,1226,3.9471608323860363,0.06949389646192616
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,,-3.0450933642213163,4,0.28691351023431033,62,1.0,0.28691351023431033
GUM,Guam,East Asia & Pacific,High income,,-3.0450933642213163,4,-0.30205906164408514,41,1.0,-0.30205906164408514
