Indicator name,non_null_values
"Total net attendance rate, lower secondary, second quintile, male (%)",4
"Total net attendance rate, lower secondary, middle quintile, both sexes (%)",4
"Total net attendance rate, primary education, middle quintile, adjusted location parity index (LPIA)",4
LDGAP: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading;,4
"Total net attendance rate, primary education, adjusted wealth parity index (WPIA)",4
"Adjusted net attendance rate, one year before the official primary entry age, urban, richest quintile, adjusted gender parity index (GPIA)",4
"Adjusted net attendance rate, one year before the official primary entry age, urban, second quintile, female (%)",4
"Number of attacks on students, personnel and institutions",4
"Completion rate, primary education, adjusted location parity index (LPIA)",4
"Net flow of internationally mobile students (inbound - outbound), both sexes (number)",4
Learning-Adjusted Years of School,4
"Completion rate, primary education, middle quintile, both sexes (%)",4
"Completion rate, primary education, poorest quintile, both sexes (%)",4
"Completion rate, primary education, second quintile, adjusted gender parity index (GPIA)",4
"Learning-Adjusted Years of School, Female",4
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, rural areas, both sexes (%)",4
"Completion rate, upper secondary education, fourth quintile, adjusted gender parity index (GPIA)",4
"Completion rate, upper secondary education, fourth quintile, both sexes (%)",4
"Out-of-school rate for youth of upper secondary school age, female, adjusted location parity index (household survey data) (LPIA)",4
"Out-of-school rate for youth of upper secondary school age, middle quintile, female (household survey data) (%)",4
"Out-of-school rate for children of primary school age, rural, poorest quintile, female (household survey data) (%)",4
"Out-of-school rate for children of primary school age, second quintile, adjusted location parity index (household survey data) (LPIA)",4
"Out-of-school rate for children of primary school age, urban, fourth quintile, female (household survey data) (%)",4
"Completion rate, lower secondary education, richest quintile, male (%)",4
LPSEV = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,4
"Human Capital Index (HCI), Lower Bound (scale 0-1)",4
"Total net attendance rate, primary, fourth quintile, female (%)",4
"Total net attendance rate, primary education, rural, middle quintile, adjusted gender parity index (GPIA)",4
"Total net attendance rate, primary education, second quintile, female, adjusted location parity index (LPIA)",4
Initial household funding per tertiary student as a percentage of GDP per capita,4
LD = PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,4
"Gross attendance ratio for tertiary education, second quintile, male (%)",4
"Completion rate, upper secondary education, rural, second quintile, adjusted gender parity index (GPIA)",4
"Europe: Students from Montenegro, both sexes (number)",4
"Out-of-school rate for youth of upper secondary school age, rural, male, adjusted wealth parity index (household survey data) (WPIA)",4
"Out-of-school rate for youth of upper secondary school age, second quintile, adjusted location parity index (household survey data) (LPIA)",4
"Out-of-school rate for youth of upper secondary school age, urban, adjusted wealth parity index (household survey data) (WPIA)",4
"Out-of-school rate for youth of upper secondary school age, urban, fourth quintile, adjusted gender parity index (household survey data) (GPIA)",4
"Completion rate, lower secondary education, urban, richest quintile, adjusted gender parity index (GPIA)",4
"Completion rate, lower secondary education, urban, second quintile, female (%)",4
"Completion rate, upper secondary education, rural, adjusted gender parity index (GPIA)",4
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, rural areas, both sexes (%)",4
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, spoke the language of the test at home, both sexes (%)",4
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, non-immigrant background, both sexes (%)",4
Proportion of upper secondary schools with basic handwashing facilities (%),4
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, very poor socioeconomic background, both sexes (%)",4
"Completion rate, primary education, urban, fourth quintile, both sexes (%)",4
Probability of Survival to Age 5,4
"Completion rate, primary education, urban, adjusted gender parity index (GPIA)",4
"Europe: Students from the United Kingdom, both sexes (number)",4
"Out-of-school rate for youth of upper secondary school age, richest quintile, male (household survey data) (%)",4
"Youth illiterate population, 15-24 years, male (number)",4
"Out-of-school rate for youth of upper secondary school age, richest quintile, adjusted location parity index (household survey data) (LPIA)",4
"Out-of-school rate for youth of upper secondary school age, urban, richest quintile, adjusted gender parity index (household survey data) (GPIA)",4
"Completion rate, lower secondary education, fourth quintile, male (%)",3
"Completion rate, lower secondary education, fourth quintile, female, adjusted location parity index (LPIA)",3
"Out-of-school rate for youth of upper secondary school age, urban, fourth quintile, female (household survey data) (%)",3
"Out-of-school rate for youth of upper secondary school age, urban, adjusted gender parity index (household survey data) (GPIA)",3
"Total net attendance rate, primary education, poorest quintile, male, adjusted location parity index (LPIA)",3
"Total net attendance rate, primary education, richest quintile, adjusted location parity index (LPIA)",3
"Out-of-school rate for children one year younger than official primary entry age, female (%)",3
"Completion rate, lower secondary education, urban, poorest quintile, female (%)",3
"Out-of-school rate for children of primary school age, urban, middle quintile, male (household survey data) (%)",3
"Total net attendance rate, primary, rural, male  (%)",3
"Total net attendance rate, primary education, rural, male, adjusted wealth parity index (WPIA)",3
"Out-of-school rate for youth of upper secondary school age, fourth quintile, female, adjusted location parity index (household survey data) (LPIA)",3
"Completion rate, upper secondary education, poorest quintile, adjusted gender parity index (GPIA)",3
"Completion rate, upper secondary education, fourth quintile, female, adjusted location parity index (LPIA)",3
"Gross attendance ratio for tertiary education, urban, poorest quintile, male (%)",3
LD = LLECES 2019 for grade 6 using MPL III (SERCE scale) for reading;,3
"Total net attendance rate, primary, poorest quintile, male (%)",3
"Completion rate, primary education, richest quintile, female (%)",3
"Completion rate, primary education, richest quintile, female, adjusted location parity index (LPIA)",3
"Completion rate, primary education, fourth quintile, male (%)",3
"Adjusted net attendance rate, one year before the official primary entry age, urban, richest quintile, female (%)",3
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, male (%)",3
"Africa: Students from Senegal, both sexes (number)",3
"Learning Deprivation Severity;TIMSS 2011 for grade 4 using MPL Low (400 points) for science, Female",3
"Completion rate, primary education, rural, second quintile, female (%)",3
"Completion rate, primary education, urban, both sexes (%)",3
"Completion rate, primary education, urban, female, adjusted wealth parity index (WPIA)",3
"Completion rate, primary education, rural, richest quintile, female (%)",3
"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in mathematics, rural areas, both sexes (%)",3
"Africa: Students from Libya, both sexes (number)",3
Proportion of lower secondary schools with access to basic drinking water (%),3
Proportion of lower secondary schools with basic handwashing facilities (%),3
Population Age 9plus for Reference Year 2019;,3
"Out-of-school rate for children of primary school age, rural, male, adjusted wealth parity index (household survey data) (WPIA)",3
"Out-of-school rate for children of primary school age, rural, richest quintile, male (household survey data) (%)",3
"Out-of-school rate for youth of upper secondary school age, fourth quintile, male (household survey data) (%)",3
"Out-of-school rate for youth of upper secondary school age, middle quintile, male (household survey data) (%)",3
"Out-of-school rate for youth of upper secondary school age, both sexes (%)",3
LDSEV: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Male,3
LP = SD: ANER; LD: LLECES 2019 for grade 6 using MPL III (SERCE scale) for reading;,3
"Completion rate, lower secondary education, second quintile, female, adjusted location parity index (LPIA)",3
"Out-of-school rate for children of primary school age, second quintile, male (household survey data) (%)",3
"Out-of-school rate for children of primary school age, second quintile, male, adjusted location parity index (household survey data) (LPIA)",3
"Inbound internationally mobile students from unknown regions, both sexes (number)",3
"Initial government funding per lower secondary student, constant PPP$",3
"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",3
LP = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Male,3
"Total net attendance rate, lower secondary, urban, middle quintile, male (%)",3
"Total net attendance rate, lower secondary, rural, fourth quintile, male (%)",3
"Adjusted net attendance rate, one year before the official primary entry age, rural, poorest quintile, female (%)",3
"Adjusted net attendance rate, one year before the official primary entry age, rural, richest quintile, both sexes (%)",3
"Adjusted net attendance rate, one year before the official primary entry age, rural, richest quintile, female (%)",3
"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, female (%)",3
"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, female, adjusted location parity index (LPIA)",3
"Completion rate, primary education, urban, richest quintile, both sexes (%)",3
"Completion rate, primary education, urban, richest quintile, male (%)",3
"Out-of-school rate for adolescents of lower secondary school age, richest quintile, female (household survey data) (%)",3
"Out-of-school rate for adolescents of lower secondary school age, fourth quintile, male (household survey data) (%)",3
"Completion rate, primary education, rural, fourth quintile, adjusted gender parity index (GPIA)",3
"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, female (%)",3
"Completion rate, primary education, urban, poorest quintile, both sexes (%)",3
"Completion rate, primary education, urban, poorest quintile, female (%)",3
"Adjusted net attendance rate, one year before the official primary entry age, urban, second quintile, both sexes (%)",3
"Adjusted net attendance rate, one year before the official primary entry age, urban, second quintile, male (%)",3
"Adjusted net attendance rate, one year before the official primary entry age, urban, fourth quintile, female (%)",3
"Proportion of youth and adults who have wrote a computer program using a specialised programming language, female (%)",3
"Proportion of youth and adults who have copied or moved a file or folder, male (%)",3
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for science, Fourth Quintile",3
"Percentage of qualified teachers in pre-primary education, male (%)",3
Teaching staff compensation as a percentage of total expenditure in public institutions (%),3
"Adjusted net attendance rate, one year before the official primary entry age, rural, second quintile, female (%)",3
"Adjusted net attendance rate, one year before the official primary entry age, rural, second quintile, male (%)",3
"Adjusted net attendance rate, one year before the official primary entry age, second quintile, adjusted location parity index (LPIA)",3
"Asia: Students from China, both sexes (number)",3
Population Age 1014 for Reference Year 2019;,3
"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, adjusted gender parity index (GPIA)",3
"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, female, adjusted location parity index (LPIA)",3
"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, adjusted location parity index (LPIA)",3
"Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for reading, Female",3
"Adjusted net attendance rate, one year before the official primary entry age, male (%)",3
"Adjusted net attendance rate, one year before the official primary entry age, male, adjusted location parity index (LPIA)",3
"Total net attendance rate, primary education, female, adjusted wealth parity index (WPIA)",3
"Total net attendance rate, primary education, male, adjusted wealth parity index (WPIA)",3
"Total net attendance rate, primary education, middle quintile, adjusted gender parity index (GPIA)",3
"Out-of-school rate for adolescents of lower secondary school age, urban, richest quintile, male (household survey data) (%)",3
"Completion rate, lower secondary education, second quintile, male, adjusted location parity index (LPIA)",3
"Completion rate, lower secondary education, urban, fourth quintile, female (%)",3
"Completion rate, lower secondary education, urban, male, adjusted wealth parity index (WPIA)",3
"Total net attendance rate, lower secondary education, second quintile, adjusted location parity index (LPIA)",3
"Total net attendance rate, lower secondary education, urban, adjusted gender parity index (GPIA)",3
"Out-of-school rate for children of primary school age, rural, both sexes (household survey data) (%)",3
"Out-of-school rate for children of primary school age, poorest quintile, both sexes (household survey data) (%)",3
"Out-of-school rate for children of primary school age, poorest quintile, female (household survey data) (%)",3
"Out-of-school rate for children of primary school age, primary education, urban, poorest quintile, adjusted gender parity index (household survey data) (GPIA)",3
"Total net attendance rate, lower secondary education, urban, fourth quintile, adjusted gender parity index (GPIA)",3
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, First Quintile",3
"Out-of-school rate for adolescents of lower secondary school age, rural, poorest quintile, adjusted gender parity index (household survey data) (GPIA)",3
"Out-of-school rate for adolescents of lower secondary school age, rural, richest quintile, female (household survey data) (%)",3
"Out-of-school rate for adolescents of lower secondary school age, richest quintile, female, adjusted location parity index (household survey data) (LPIA)",3
"Out-of-school rate for children of primary school age, richest quintile, adjusted gender parity index (household survey data) (GPIA)",3
"South America: Students from the Plurinational State of Bolivia, both sexes (number)",3
"Out-of-school rate for adolescents of lower secondary school age, urban, male, adjusted wealth parity index (household survey data) (WPIA)",3
"Out-of-school rate for adolescents of lower secondary school age, urban, middle quintile, male (household survey data) (%)",3
"Out-of-school rate for adolescents of lower secondary school age, second quintile, male, adjusted location parity index (household survey data) (LPIA)",3
"Completion rate, lower secondary education, middle quintile, adjusted gender parity index (GPIA)",3
"Completion rate, lower secondary education, adjusted location parity index (LPIA)",3
"Completion rate, lower secondary education, both sexes (%)",3
"Fraction of Children Under 5 Not Stunted, Female",3
"Fraction of Children Under 5 Not Stunted, Male",3
"Completion rate, upper secondary education, rural, second quintile, both sexes (%)",3
"Completion rate, upper secondary education, second quintile, female, adjusted location parity index (LPIA)",3
"Completion rate, upper secondary education, rural, richest quintile, adjusted gender parity index (GPIA)",3
"Completion rate, upper secondary education, urban, poorest quintile, adjusted gender parity index (GPIA)",3
"Completion rate, upper secondary education, urban, poorest quintile, both sexes (%)",3
"Completion rate, upper secondary education, urban, richest quintile, both sexes (%)",3
"Total net attendance rate, primary, urban, both sexes (%)",3
"Total net attendance rate, primary, urban, middle quintile, male (%)",3
"Above Proficiency;PISA 2009 for grade 15Y using MPL Level 2 for math, Urban",3
"Total net attendance rate, upper secondary, male, adjusted wealth parity index (WPIA)",3
"Total net attendance rate, upper secondary education, rural, female, adjusted wealth parity index (WPIA)",3
"Total net attendance rate, upper secondary education, rural, male, adjusted wealth parity index (WPIA)",3
"Total net attendance rate, upper secondary education, second quintile, adjusted location parity index (LPIA)",3
"Total net attendance rate, upper secondary education, second quintile, male, adjusted location parity index (LPIA)",3
"Total net attendance rate, primary, urban, richest quintile, male (%)",3
"Total net attendance rate, primary, urban, second quintile, male (%)",3
"Total net attendance rate, upper secondary education, fourth quintile, male, adjusted location parity index (LPIA)",3
"Total net attendance rate, upper secondary, urban, richest quintile, female (%)",3
"Total net attendance rate, upper secondary, urban, female (%)",3
"Total net attendance rate, upper secondary education, urban, male, adjusted wealth parity index (WPIA)",3
"Total net enrolment rate, upper secondary, female (%)",3
"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for reading, Male",3
"Total net attendance rate, primary, rural, middle quintile, male (%)",3
"Above Proficiency;PISA 2012 for grade 15Y using MPL Level 2 for science, Fifth Quintile",3
"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for math, Urban",2
"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for science, Female",2
"Above Proficiency;PISA 2015 for grade 15Y using MPL Level 2 for science, Male",2
"Above Proficiency;PISA 2015 for grade 15Y using MPL Level 2 for reading, Fourth Quintile",2
"Above Proficiency;PISA 2009 for grade 15Y using MPL Level 2 for science, Second Quintile",2
"Above Proficiency;PISA 2012 for grade 15Y using MPL Level 2 for reading, Second Quintile",2
"Total net attendance rate, upper secondary, urban, middle quintile, male (%)",2
"Total net attendance rate, upper secondary, urban, poorest quintile, both sexes (%)",2
"Total net attendance rate, upper secondary, second quintile, both sexes (%)",2
"Total net attendance rate, upper secondary education, fourth quintile, adjusted gender parity index (GPIA)",2
"Total net attendance rate, primary, urban, fourth quintile, male (%)",2
"Total net attendance rate, upper secondary, richest quintile, male (%)",2
"Above Proficiency;PISA 2006 for grade 15Y using MPL Level 2 for math, Female",2
"Above Proficiency;PISA 2006 for grade 15Y using MPL Level 2 for reading, Fourth Quintile",2
"Out-of-school rate for youth of upper secondary school age, rural, second quintile, both sexes (household survey data) (%)",2
"Europe: Students from Ireland, both sexes (number)",2
"Europe: Students from Liechtenstein, both sexes (number)",2
"Completion rate, upper secondary education, urban, middle quintile, female (%)",2
"Completion rate, upper secondary education, rural, richest quintile, both sexes (%)",2
"Total net attendance rate, upper secondary, urban, fourth quintile, both sexes (%)",2
"Total net attendance rate, upper secondary, urban, fourth quintile, female (%)",2
"Total net attendance rate, upper secondary, urban, male  (%)",2
"Total net attendance rate, upper secondary, rural, both sexes (%)",2
"Total net attendance rate, upper secondary, rural, male  (%)",2
"Total net attendance rate, upper secondary, rural, poorest quintile, both sexes (%)",2
"Total net attendance rate, upper secondary, rural, poorest quintile, female (%)",2
"Educational attainment rate, completed lower secondary education or higher, population 25+ years, male (%)",2
Current expenditure other than staff compensation as a percentage of total expenditure in upper secondary public institutions (%),2
"Out-of-school rate for youth of upper secondary school age, poorest quintile, both sexes (household survey data) (%)",2
Percentage of enrolment in tertiary education in private institutions (%),2
"Asia: Students from the United Arab Emirates, both sexes (number)",2
"Completion rate, lower secondary education, middle quintile, adjusted location parity index (LPIA)",2
"Completion rate, lower secondary education, middle quintile, female (%)",2
"Completion rate, lower secondary education, richest quintile, adjusted location parity index (LPIA)",2
"Completion rate, lower secondary education, fourth quintile, both sexes (%)",2
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Fourth Quintile",2
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Second Quintile",2
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Urban",2
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for science, Fourth Quintile",2
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for science, Rural",2
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for reading, Fifth Quintile",2
"Teacher attrition rate from upper secondary education, both sexes (%)",2
"Teacher attrition rate from upper secondary education, male (%)",2
"Above Proficiency;TIMSS 2011 for grade 8 using MPL Low (400 points) for math, Female",2
"Above Proficiency;TIMSS 2011 for grade 8 using MPL Low (400 points) for math, Male",2
"Out-of-school rate for adolescents of lower secondary school age, urban, poorest quintile, female (household survey data) (%)",2
"Out-of-school rate for adolescents of lower secondary school age, urban, female (household survey data) (%)",2
"Out-of-school rate for adolescents of lower secondary school age, rural, middle quintile, female (household survey data) (%)",2
"Out-of-school rate for adolescents of lower secondary school age, rural, female (household survey data) (%)",2
"Out-of-school rate for adolescents of lower secondary school age, rural, male, adjusted wealth parity index (household survey data) (WPIA)",2
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for science, Third Quintile",2
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for math, Second Quintile",2
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for reading, Female",2
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for reading, Third Quintile",2
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for math, Fifth Quintile",2
"Learning Deprivation Gap;PIRLS 2011 for grade 4 using MPL Low (400 points) for reading, Female",2
"Learning Deprivation Gap;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, Third Quintile",2
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for science, Third Quintile",2
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for science, Fifth Quintile",2
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for science, Second Quintile",2
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Fifth Quintile",2
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Urban",2
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for reading, Female",2
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for reading, Second Quintile",2
"Total net attendance rate, lower secondary, both sexes (%)",2
"Total net attendance rate, lower secondary education, fourth quintile, adjusted location parity index (LPIA)",2
"Out-of-school rate for children of primary school age, primary education, rural, middle quintile, adjusted gender parity index (household survey data) (GPIA)",2
"Out-of-school rate for children of primary school age, primary education, urban, richest quintile, adjusted gender parity index (household survey data) (GPIA)",2
"Out-of-school rate for children of primary school age, middle quintile, adjusted gender parity index (household survey data) (GPIA)",2
"Out-of-school rate for adolescents of lower secondary school age, urban, second quintile, female (household survey data) (%)",2
"Out-of-school rate for children of primary school age, adjusted gender parity index (household survey data) (GPIA)",2
"Completion rate, lower secondary education, rural, richest quintile, adjusted gender parity index (GPIA)",2
"Completion rate, lower secondary education, rural, richest quintile, both sexes (%)",2
LDSEV: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading;,2
"Total net attendance rate, primary education, fourth quintile, male, adjusted location parity index (LPIA)",2
"Total net attendance rate, lower secondary, urban, middle quintile, female (%)",2
"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, male, adjusted location parity index (LPIA)",2
"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, adjusted gender parity index (GPIA)",2
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for reading, Third Quintile",2
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for math, Fifth Quintile",2
"Learning Deprivation Gap;TIMSS 2015 for grade 4 using MPL Low (400 points) for science, Rural",2
"Learning Deprivation Gap;TIMSS 2015 for grade 4 using MPL Low (400 points) for science, Urban",2
"Learning Deprivation Gap;TIMSS 2011 for grade 4 using MPL Low (400 points) for science, Urban",2
Above Proficiency;TIMSS 2015 for grade 8 using MPL Low (400 points) for science,2
"Above Proficiency;TIMSS 2019 for grade 4 using MPL Low (400 points) for math, Urban",2
Above Proficiency;TIMSS 2019 for grade 8 using MPL Low (400 points) for science,2
"Above Proficiency;TIMSS 2015 for grade 4 using MPL Low (400 points) for science, First Quintile",2
"Repetition rate in lower secondary general education (all grades), both sexes (%)",2
"Adjusted net attendance rate, one year before the official primary entry age, urban, female, adjusted wealth parity index (WPIA)",2
"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",2
"Total net attendance rate, lower secondary education, richest quintile, male, adjusted location parity index (LPIA)",2
"Total net attendance rate, lower secondary education, fourth quintile, adjusted gender parity index (GPIA)",2
"Learning Deprivation Gap;TIMSS 2007 for grade 8 using MPL Low (400 points) for science, Fourth Quintile",2
"Learning Deprivation Gap;TIMSS 2007 for grade 8 using MPL Low (400 points) for science, Third Quintile",2
"Learning Deprivation Gap;TIMSS 2007 for grade 4 using MPL Low (400 points) for math, Female",2
"Adjusted net attendance rate, one year before the official primary entry age, urban, fourth quintile, adjusted gender parity index (GPIA)",2
"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",2
"Learning Deprivation Severity;PISA 2015 for grade 15Y using MPL Level 2 for science, Rural",2
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for reading, Male",2
"Learning Deprivation Severity;PISA 2012 for grade 15Y using MPL Level 2 for science, Fifth Quintile",2
"Learning Deprivation Severity;PISA 2012 for grade 15Y using MPL Level 2 for reading, Male",2
"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, very affluent socioeconomic background, both sexes (%)",2
"Out-of-school rate for adolescents of lower secondary school age, poorest quintile, female, adjusted location parity index (household survey data) (LPIA)",2
"Out-of-school rate for adolescents of lower secondary school age, richest quintile, adjusted gender parity index (household survey data) (GPIA)",2
"Out-of-school rate for adolescents of lower secondary school age, poorest quintile, adjusted gender parity index (household survey data) (GPIA)",2
"Adjusted net attendance rate, one year before the official primary entry age, rural, middle quintile, male (%)",2
"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, male, adjusted location parity index (LPIA)",2
"Adjusted net attendance rate, one year before the official primary entry age, rural, female, adjusted wealth parity index (WPIA)",2
"Total net attendance rate, primary education, adjusted gender parity index (GPIA)",2
"Total net attendance rate, lower secondary, rural, second quintile, female (%)",2
"Total net attendance rate, lower secondary, richest quintile, male (%)",2
"Total net attendance rate, lower secondary, rural, poorest quintile, both sexes (%)",2
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for science, Male",2
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for science, Male",2
"Inbound internationally mobile students from Oceania, both sexes (number)",2
"Inbound internationally mobile students from South America, both sexes (number)",2
LPSEV = SD: ANER; LD: LLECES 2013 for grade 6 using MPL III (SERCE scale) for reading;,2
LPSEV = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Female,2
LP = SD: ANER; LD: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; Male,2
"Out-of-school rate for children of primary school age, rural, second quintile, male (household survey data) (%)",2
"Out-of-school rate for children of primary school age, urban, adjusted gender parity index (household survey data) (GPIA)",2
"Out-of-school rate for children of primary school age, rural, male (household survey data) (%)",2
"Out-of-school rate for children of primary school age, rural, second quintile, female (household survey data) (%)",2
"Out-of-school rate for youth of upper secondary school age, middle quintile, male, adjusted location parity index (household survey data) (LPIA)",2
"Above Proficiency;PISA 2000 for grade 15Y using MPL Level 2 for science, Urban",2
Above Proficiency;PISA 2000 for grade 15Y using MPL Level 2 for math,2
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, non-immigrant background, both sexes (%)",2
"Proportion of population achieving at least a fixed level of proficiency in functional numeracy skills, immigrant background (%)",2
Population Age primary for Reference Year 2019; Female,2
"Completion rate, primary education, urban, fourth quintile, adjusted gender parity index (GPIA)",2
"Completion rate, primary education, rural, poorest quintile, adjusted gender parity index (GPIA)",2
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, very affluent socioeconomic background, both sexes (%)",2
"Learning Deprivation Severity;TIMSS 2015 for grade 4 using MPL Low (400 points) for science, Urban",2
"Learning Deprivation Severity;TIMSS 2007 for grade 8 using MPL Low (400 points) for math, Male",2
"Learning Deprivation Severity;TIMSS 2003 for grade 8 using MPL Low (400 points) for science, Female",2
"Learning Deprivation Severity;TIMSS 2015 for grade 8 using MPL Low (400 points) for math, Fifth Quintile",2
"Learning Deprivation Severity;TIMSS 2019 for grade 8 using MPL Low (400 points) for science, Male",2
"Completion rate, primary education, poorest quintile, adjusted gender parity index (GPIA)",2
"Oceania: Students from the Solomon Islands, both sexes (number)",2
"Adjusted net attendance rate, one year before the official primary entry age, urban, poorest quintile, male (%)",2
"Out-of-school rate for youth of upper secondary school age, fourth quintile, female (household survey data) (%)",2
"Initial household funding per secondary student, constant PPP$",2
"Total net attendance rate, primary, richest quintile, female (%)",2
"Above Proficiency;PISA 2009 for grade 15Y using MPL Level 2 for reading, Fourth Quintile",2
"Total net attendance rate, primary education, urban, richest quintile, adjusted gender parity index (GPIA)",2
"Total net attendance rate, primary, both sexes (%)",2
"Total net attendance rate, primary education, rural, poorest quintile, adjusted gender parity index (GPIA)",2
"Total net attendance rate, primary education, rural, richest quintile, adjusted gender parity index (GPIA)",2
"Total net attendance rate, primary education, second quintile, male, adjusted location parity index (LPIA)",2
"Total net attendance rate, primary education, richest quintile, adjusted gender parity index (GPIA)",2
"Out-of-school rate for youth of upper secondary school age, adjusted gender parity index (household survey data) (GPIA)",2
"Caribbean and Central America: Students from unknown countries, both sexes (number)",2
"Out-of-school rate for youth of upper secondary school age, second quintile, female, adjusted location parity index (household survey data) (LPIA)",2
"Out-of-school rate for youth of upper secondary school age, urban, female (household survey data) (%)",2
"Out-of-school rate for youth of upper secondary school age, rural, male (household survey data) (%)",2
"Out-of-school rate for youth of upper secondary school age, rural, middle quintile, adjusted gender parity index (household survey data) (GPIA)",2
"Out-of-school rate for youth of upper secondary school age, rural, second quintile, adjusted gender parity index (household survey data) (GPIA)",2
"Youth illiterate population, 15-24 years, both sexes (number)",2
"Above Proficiency;PIRLS 2001 for grade 4 using MPL Low (400 points) for reading, Female",2
"Above Proficiency;LLECES 2006 for grade 6 using MPL Level 3 for reading, First Quintile",1
"Above Proficiency;PIRLS 2011 for grade 4 using MPL Low (400 points) for reading, Rural",1
Above Proficiency;PIRLS 2011 for grade 6 using MPL Low (400 points) for reading,1
"Above Proficiency;PIRLS 2016 for grade 3 using MPL Low (400 points) for reading, Rural",1
"Above Proficiency;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, First Quintile",1
"Above Proficiency;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, Male",1
"Above Proficiency;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, Urban",1
"Above Proficiency;PIRLS 2016 for grade 5 using MPL Low (400 points) for reading, First Quintile",1
"Above Proficiency;PISA 2000 for grade 15Y using MPL Level 2 for math, Male",1
"Above Proficiency;PISA 2000 for grade 15Y using MPL Level 2 for math, Urban",1
Above Proficiency;PISA 2000 for grade 15Y using MPL Level 2 for reading,1
