Indicator name,non_null_values
"Europe: Students from Hungary, both sexes (number)",24
"Europe: Students from Austria, both sexes (number)",24
"School life expectancy, primary and lower secondary, both sexes (years)",24
"Repeaters in Grade 7 of primary education, female (number)",24
"Africa: Students from Rwanda, both sexes (number)",24
"Outbound internationally mobile tertiary students studying in North America and Western Europe, both sexes (number)",24
"Caribbean and Central America: Students from Saint Kitts and Nevis, both sexes (number)",24
"Africa: Students from the Congo, both sexes (number)",24
"Africa: Students from Mauritius, both sexes (number)",24
"Africa: Students from Burkina Faso, both sexes (number)",24
"Asia: Students from unknown countries, both sexes (number)",24
"Out-of-school children and adolescents of primary and lower secondary school age, female (number)",23
"Repetition rate in Grade 3 of primary education, both sexes (%)",23
"Repeaters in lower secondary general education, all grades, both sexes (number)",23
"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, male (%)",23
"Repetition rate in Grade 3 of primary education, female (%)",23
"Completion rate, upper secondary education, adjusted wealth parity index (WPIA)",23
"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",23
"Repeaters in Grade 2 of primary education, female (number)",23
"Enrolment in upper secondary education, female (number)",23
"South America: Students from Peru, both sexes (number)",23
"Outbound internationally mobile tertiary students studying in South and West Asia, both sexes (number)",23
"Out-of-school rate for youth of upper secondary school age, urban, second quintile, both sexes (household survey data) (%)",23
"Out-of-school youth of upper secondary school age, male (number)",23
"Asia: Students from Nepal, both sexes (number)",23
"Gross enrolment ratio, lower secondary, both sexes (%)",23
"Out-of-school rate for youth of upper secondary school age, male (household survey data) (%)",23
"Africa: Students from Chad, both sexes (number)",23
"Caribbean and Central America: Students from Trinidad and Tobago, both sexes (number)",23
"Government expenditure on pre-primary education, PPP$ (millions)",23
Current expenditure other than staff compensation as a percentage of total expenditure in lower secondary public institutions (%),23
"Completion rate, upper secondary education, urban, adjusted gender parity index (GPIA)",23
"Gross attendance ratio for tertiary education, adjusted wealth parity index (WPIA)",23
"Europe: Students from North Macedonia, both sexes (number)",23
"Africa: Students from unknown countries, both sexes (number)",23
"Asia: Students from Palestine, both sexes (number)",23
"Gross attendance ratio for tertiary education, urban, fourth quintile, both sexes (%)",22
"Outbound internationally mobile tertiary students studying in Latin America and the Caribbean, both sexes (number)",22
Capital expenditure as a percentage of total expenditure in lower secondary public institutions (%),22
"Outbound internationally mobile tertiary students studying in East Asia and the Pacific, both sexes (number)",22
"Africa: Students from Angola, both sexes (number)",22
"Africa: Students from Zambia, both sexes (number)",22
"Asia: Students from India, both sexes (number)",22
"Asia: Students from Turkey, both sexes (number)",22
"Completion rate, lower secondary education, rural, poorest quintile, male (%)",22
"Asia: Students from Afghanistan, both sexes (number)",22
"Teachers in lower secondary education, female (number)",22
"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",22
"Repetition rate in primary education (all grades), male (%)",22
"Oceania: Students from Samoa, both sexes (number)",22
"Teachers in secondary education, female (number)",22
"Enrolment in pre-primary education, male (number)",22
"Teachers in upper secondary education, male (number)",22
Teaching staff compensation as a percentage of total expenditure in lower secondary public institutions (%),22
"Completion rate, primary education, richest quintile, adjusted gender parity index (GPIA)",21
"Europe: Students from Romania, both sexes (number)",21
"Africa: Students from Ethiopia, both sexes (number)",21
"Educational attainment rate, completed lower secondary education or higher, population 25+ years, female (%)",21
"Enrolment in tertiary education, ISCED 6 programmes, female (number)",21
"Adjusted net attendance rate, one year before the official primary entry age, rural, adjusted gender parity index (GPIA)",21
"Asia: Students from Myanmar, both sexes (number)",21
"Caribbean and Central America: Students from Saint Lucia, both sexes (number)",21
"Out-of-school rate for youth of upper secondary school age, urban, poorest quintile, both sexes (household survey data) (%)",21
"Out-of-school rate for youth of upper secondary school age, urban, richest quintile, both sexes (household survey data) (%)",21
"Out-of-school rate for adolescents of lower secondary school age, rural, richest quintile, both sexes (household survey data) (%)",21
"Out-of-school rate for adolescents of lower secondary school age, urban, middle quintile, both sexes (household survey data) (%)",21
Percentage of teachers in tertiary education who are female (%),21
"Total net attendance rate, lower secondary, poorest quintile, both sexes (%)",21
"Government expenditure on upper secondary education, US$ (millions)",21
Capital expenditure as a percentage of total expenditure in upper-secondary public institutions (%),21
"Gross attendance ratio for tertiary education, adjusted location parity index (LPIA)",21
Current expenditure as a percentage of total expenditure in lower secondary public institutions (%),20
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, did not speak the language of the test at home, both sexes (%)",20
"Total net attendance rate, upper secondary, rural, fourth quintile, both sexes (%)",20
"Asia: Students from Bahrain, both sexes (number)",20
"Percentage of graduates from tertiary education graduating from Engineering, Manufacturing and Construction  programmes, both sexes (%)",20
"School life expectancy, primary to tertiary, both sexes (years)",20
"Repetition rate in Grade 2 of primary education, female (%)",20
"Completion rate, primary education, fourth quintile, adjusted location parity index (LPIA)",20
"Out-of-school children and adolescents of primary and lower secondary school age, male (number)",20
"Out-of-school rate for children one year younger than official age, adjusted gender parity index (GPIA)",20
"Out-of-school rate for children of primary school age, urban, second quintile, both sexes (household survey data) (%)",20
"Out-of-school children, adolescents and youth of primary and secondary school age, female (number)",20
"Completion rate, primary education, middle quintile, male, adjusted location parity index (LPIA)",20
"Africa: Students from Cape Verde, both sexes (number)",19
"Completion rate, primary education, rural, richest quintile, male (%)",19
"Teachers in tertiary education programmes, female (number)",19
"Teachers in upper secondary education, female (number)",19
"Repetition rate in Grade 2 of lower secondary general education, male (%)",19
"Completion rate, primary education, rural, adjusted wealth parity index (WPIA)",19
"Oceania: Students from the Cook Islands, both sexes (number)",19
"Adjusted net enrolment rate, one year before the official primary entry age, female (%)",19
"Net flow ratio of internationally mobile students (inbound - outbound), both sexes (%)",19
"Government expenditure on upper secondary education, constant US$ (millions)",19
"Africa: Students from Sudan, both sexes (number)",19
"Completion rate, upper secondary education, urban, female, adjusted wealth parity index (WPIA)",18
"Teachers in early childhood educational development programmes, male (number)",18
"Total net attendance rate, upper secondary, adjusted gender parity index (GPIA)",18
"Government expenditure on secondary education, constant PPP$ (millions)",18
"Total net attendance rate, lower secondary, urban, poorest quintile, both sexes (%)",18
Capital expenditure as a percentage of total expenditure in public institutions (%),18
"Africa: Students from Cameroon, both sexes (number)",18
Percentage of enrolment in pre-primary education in private institutions (%),18
