Country name,avg_all_roots_iqr_M,avg_all_roots_iqr_F,n_roots_used,diff_abs_F_M_iqr
Ecuador,2.2425517946882545,2.2191883450682632,24,0.02336344961999126
"Egypt, Arab Rep.",3.217459449182684,3.1342398899100146,18,0.08321955927266922
El Salvador,2.0697191690297307,2.057866477527586,28,0.01185269150214463
Estonia,0.7144443332004201,0.7222335603558112,17,0.0077892271553910986
Eswatini,1.6385561500800123,1.652151467829778,5,0.013595317749765634
Ethiopia,3.809779382841196,3.7614084418595795,2,0.04837094098161643
Europe & Central Asia,1.6481350140143995,1.4959995766982348,5,0.15213543731616475
Europe & Central Asia (excluding high income),1.824022523195768,1.7140492404958931,5,0.10997328269987494
Fiji,3.9703527251675736,4.055675300863232,2,0.08532257569565838
Finland,1.3487044371656305,1.308865988914599,34,0.039838448251031444
France,1.3836303372222514,1.3516516535368557,37,0.03197868368539569
Gabon,2.024735181990161,2.0174324422168786,23,0.00730273977328233
"Gambia, The",3.7960312776869807,3.8207690991955547,2,0.024737821508574065
Georgia,1.3168601210303845,1.2798830197996636,37,0.036977101230720955
Germany,1.6089827085652875,1.5678796189563766,31,0.04110308960891085
Ghana,1.6069656316318124,1.6043772091032114,5,0.002588422528601031
Greece,1.9311230682288696,1.8274208386889277,25,0.1037022295399419
Grenada,4.04463935521292,4.123510139206672,2,0.0788707839937528
Guatemala,2.336361988493456,2.3407885407494025,25,0.004426552255946348
Guinea,2.355224653665227,2.419430084458208,23,0.06420543079298113
Guyana,3.9182993741801133,3.9815248141984485,2,0.06322544001833519
Haiti,3.8856290567375487,3.92267113252893,2,0.03704207579138119
High income,1.737157179869671,1.524672332892491,5,0.21248484697718006
Honduras,1.5866945511021178,1.5717215950724805,39,0.014972956029637219
"Hong Kong SAR, China",1.3328236152170372,1.2993603886398288,34,0.03346322657720835
Hungary,1.3461185066995787,1.316090737031741,37,0.03002776966783771
IBRD only,2.8770416735610684,2.7304775691412475,5,0.14656410441982093
IDA & IBRD total,3.4074897606050083,3.357253380532203,3,0.050236380072805176
IDA blend,3.813958300688436,3.9333003945079965,5,0.11934209381956062
IDA only,3.8298567290307055,3.87281453491122,5,0.04295780588051468
Iceland,1.5274520864880423,1.4928263632026881,28,0.03462572328535418
India,5.902664358927569,5.858020795481258,6,0.04464356344631071
Indonesia,1.969482963622658,1.9456475678035843,32,0.02383539581907379
"Iran, Islamic Rep.",2.0391643582970977,2.012111439139912,28,0.027052919157185773
Iraq,3.7186007116172375,3.7993898949438516,2,0.08078918332661411
Ireland,1.2353835401819078,1.2151104165450262,37,0.020273123636881607
Israel,1.6790136042793065,1.6342391596043724,31,0.04477444467493408
Italy,1.3536227102062603,1.3450819990311624,37,0.008540711175097915
Jamaica,3.9852756730707504,4.077510366536426,2,0.09223469346567592
Japan,1.4581884401190708,1.4149676091471377,33,0.04322083097193308
Jordan,2.232523868689619,2.21047391649515,27,0.022049952194469036
Kazakhstan,1.3416214252217047,1.3061895312981726,37,0.035431893923532076
Kenya,5.401298177061144,5.373419697010454,9,0.027878480050690158
Kiribati,3.980191070675843,4.087599755169802,2,0.10740868449395924
"Korea, Rep.",1.4450606705074225,1.4364831793277681,33,0.00857749117965434
Kosovo,1.2412518702698387,1.2118851632813519,25,0.029366706988486868
Kuwait,2.02321078469535,1.8608331377023408,27,0.16237764699300938
Kyrgyz Republic,0.8546169287997613,0.8638087513052245,10,0.009191822505463243
Lao PDR,3.052550573128686,3.0744515433185438,16,0.021900970189857816
Latin America & Caribbean,2.7871503784079437,2.6960183667392252,5,0.09113201166871843
Latin America & Caribbean (excluding high income),3.182733343261365,3.058825130833716,3,0.12390821242764893
Latvia,1.2068187959680272,1.1462549451412762,37,0.060563850826750976
Lebanon,0.5887263388221959,0.5860571521070145,17,0.0026691867151814597
Lesotho,1.6033838044992155,1.6227402834940965,5,0.01935647899488102
Liberia,5.817874086562262,5.795340774287499,1,0.02253331227476263
Liechtenstein,0.2113830402034623,0.2124889203032783,9,0.0011058800998159923
Lithuania,1.1431914876840668,1.1065597989465732,37,0.03663168873749356
Low income,3.930867170192923,4.0054165830354735,5,0.07454941284255057
Lower middle income,3.2610491996090127,3.195770915958606,5,0.06527828365040689
Luxembourg,1.5200738805075307,1.425823233645619,25,0.09425064686191176
"Macao SAR, China",1.71839492868918,1.6595336428957597,25,0.058861285793420315
Madagascar,2.3615417072155624,2.2902273094257097,23,0.07131439778985271
Malawi,1.5774208718617584,1.5793607537619219,5,0.001939881900163476
Malaysia,1.5426205822088852,1.5228730524729537,32,0.019747529735931524
Mali,6.860485211647051,6.8768587940086245,7,0.016373582361573824
Malta,1.0640005470731124,1.0410528444132443,43,0.02294770265986812
Marshall Islands,3.8291296594104507,3.8928410543690095,2,0.06371139495855882
Mauritania,3.6965094885426715,3.7257056958984296,2,0.02919620735575812
Mauritius,0.7347065438260121,0.7442149958993018,14,0.009508452073289764
Mexico,2.2623175460187572,2.223967716876201,25,0.038349829142556136
"Micronesia, Fed. Sts.",3.9250445721379696,3.9885401305635346,2,0.06349555842556498
"Middle East, North Africa, Afghanistan and Pakistan",3.2091787670964047,3.206597911856979,5,0.002580855239425528
"Middle East, North Africa, Afghanistan and Pakistan (excluding high income)",3.2491529229683045,3.2807699918791777,5,0.031617068910873236
Moldova,0.4917716531694178,0.5036281006333341,26,0.011856447463916286
Mongolia,2.057472735334306,2.033349454407412,25,0.024123280926894086
Montenegro,1.7382536141295204,1.694485555082825,23,0.04376805904669534
Morocco,1.7264812533800096,1.7172772403007017,34,0.009204013079307849
Mozambique,1.5989167888897489,1.5992289485209832,4,3.121596312343211E-4
Myanmar,2.7987193515054307,2.790223656690224,17,0.008495694815206623
Namibia,1.6299648571670757,1.6393770877478988,5,0.009412230580823078
Nauru,3.865058225951044,3.9831479875364453,2,0.1180897615854013
Netherlands,1.2186442515716351,1.1778087790792788,37,0.040835472492356306
New Zealand,1.041343189402025,0.9991803275775251,52,0.04216286182450002
Nicaragua,3.350329172343517,3.2301257733986715,16,0.12020339894484566
Niger,1.9839897783705882,1.978911523344019,18,0.005078255026569112
Nigeria,3.768046815386299,3.7362248559267877,2,0.03182195945951127
North America,1.4513419365422096,1.3559563666187582,5,0.09538556992345137
North Macedonia,1.4252291557724552,1.419643272988086,37,0.005585882784369334
Norway,0.9811751252896866,0.9478656496673362,52,0.033309475622350426
Oman,2.139387767271365,2.0701869982853016,26,0.0692007689860632
Pakistan,7.457545902042871,7.469524867209131,7,0.011978965166259847
Palau,4.148388687351325,4.215159654426132,2,0.0667709670748069
Panama,2.199262864209116,2.1944536740102016,25,0.004809190198914237
Papua New Guinea,3.8920862259829865,3.86586858865232,2,0.0262176373306664
Paraguay,2.285881273063389,2.267692030713336,25,0.018189242350052925
Peru,2.2099392761515997,2.1877908719209027,25,0.022148404230696972
Philippines,1.7792233479399804,1.7693465842658427,31,0.0098767636741377
Poland,1.6446212439179917,1.5983512401047124,31,0.04627000381327928
Portugal,1.2817716555410668,1.254164259758394,37,0.027607395782672794
Qatar,1.4147248373029264,1.3532660968415806,37,0.06145874046134581
Romania,1.507932080823378,1.4976165044051435,37,0.010315576418234551
Russian Federation,1.360702263523167,1.3303432004173252,37,0.030359063105841688
Rwanda,3.7026166514948846,3.760838005888135,2,0.05822135439325038
Samoa,3.9272963980843247,4.021609043618984,2,0.09431264553465901
Saudi Arabia,1.6405982992431996,1.5790498953185215,36,0.061548403924678086
Senegal,1.8675195203380097,1.8245914898312707,34,0.04292803050673899
Serbia,1.43997060888455,1.4045385710651122,34,0.035432037819437934
Seychelles,1.804619267217501,1.7973907875747817,5,0.007228479642719332
Sierra Leone,3.7512961084903886,3.743830465249623,2,0.007465643240765818
Singapore,1.3070547108249664,1.2605243227755842,35,0.04653038804938214
Slovak Republic,1.3671137179866761,1.3516718319625398,37,0.01544188602413632
Slovenia,1.1714942404160518,1.133564673010534,40,0.03792956740551778
Solomon Islands,3.8069292950766953,3.8702380432013945,2,0.06330874812469922
South Africa,2.212920259103657,2.1633151233622736,29,0.04960513574138359
South Asia,3.4734631618886316,3.4762747221046677,3,0.002811560216036124
Spain,1.4072572130759704,1.37724193278605,37,0.03001528028992051
St. Kitts and Nevis,4.11028065378762,4.121546668898343,2,0.011266015110723338
St. Lucia,4.0982647062953,4.156423873125913,2,0.058159166830613174
St. Vincent and the Grenadines,4.037083462639126,4.097686519937515,2,0.06060305729838866
Sub-Saharan Africa,3.8508613346984446,3.8881750787323,5,0.03731374403385557
Sub-Saharan Africa (excluding high income),3.8508613346984446,3.8881750787323,5,0.03731374403385557
Sudan,3.792072489737608,3.819748756443934,2,0.027676266706325947
Sweden,1.1707329105524265,1.1457341648300223,40,0.024998745722404125
Switzerland,0.9642846325222286,0.96970713442256,11,0.0054225019003313335
Syrian Arab Republic,0.154405232766566,0.1480041143078388,6,0.006401118458727206
Tajikistan,4.139890770645776,4.120975145212139,2,0.018915625433637118
Tanzania,1.664633154571376,1.6742977984613336,5,0.009664643889957691
Thailand,1.6446989190663412,1.6359179155917123,34,0.008781003474628957
Timor-Leste,3.908713475059441,3.9555554288655665,2,0.04684195380612577
Togo,2.2622908036598854,2.3345246508679853,25,0.07223384720809989
Tonga,3.956664050625843,4.041200937506572,2,0.0845368868807288
Trinidad and Tobago,1.924771356217641,1.902816155912705,25,0.021955200304935918
Tunisia,1.8461900206651893,1.8223054838232189,30,0.02388453684197045
Tuvalu,3.873012423291777,3.9493260926634615,2,0.0763136693716846
T�rkiye,1.4139084000066533,1.4118711594889484,43,0.00203724051770493
Uganda,1.5848225008955403,1.5891351341556652,4,0.004312633260124876
Ukraine,1.7532169113138696,1.7362924889405202,34,0.016924422373349346
United Arab Emirates,1.4245438284943053,1.3934041066912992,39,0.03113972180300606
United Kingdom,1.0661820835032638,1.0542012003253882,52,0.0119808831778756
United States,1.587382190257615,1.5587739821257958,37,0.0286082081318193
Upper middle income,2.5885838665233374,2.5050110844149174,5,0.08357278210842001
Uruguay,1.896928055550611,1.872612077253104,25,0.02431597829750687
Uzbekistan,6.0688275939758105,5.968330451872894,8,0.10049714210291683
Vanuatu,3.851988606439303,3.893597360648086,2,0.04160875420878263
Vietnam,1.939097168579631,1.9183465136181637,25,0.02075065496146733
West Bank and Gaza,1.1474466326816584,1.1652882329727074,8,0.017841600291049087
World,3.1492042760588412,3.1299809868295467,5,0.019223289229294505
"Yemen, Rep.",3.713191108317859,3.8404515477515293,16,0.1272604394336705
Zambia,0.5224927815026312,0.5293137063222836,12,0.006820924819652352
Zimbabwe,1.7141337252462798,1.7075868287287068,5,0.006546896517573009
