Country name,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
Brunei Darussalam,1,-0.10282730407617255,-0.3136381971428095,-0.1291747945312051,0.0,0.0,0.0
Bulgaria,1,0.3139615726563633,-0.21499344380406463,-0.07557411194722802,1.0,0.0,0.0
Burkina Faso,1,0.07897947417178229,0.12485254780898242,0.0478395119893107,0.0,0.0,0.0
Burundi,1,-0.25570128555702903,-0.004468576481409578,-0.0019640886424455314,0.0,0.0,0.0
Cabo Verde,1,-0.3852980066802988,-0.02271246962063133,-0.01058588314974412,0.0,0.0,0.0
Cambodia,1,-0.24586114840133058,0.3216172513405989,0.14075276062318592,0.0,1.0,1.0
Cameroon,1,-0.03360885678396819,0.15151790090437375,0.06067433045941981,0.0,1.0,1.0
Canada,1,0.4043204806091427,0.4827622425778956,0.16447551917534822,1.0,1.0,1.0
Cayman Islands,1,-0.591765378599393,-0.3446070789856454,-0.1777171752553058,0.0,0.0,0.0
Central African Republic,1,-0.5814652079613402,0.02541277381671212,0.013036363337687736,0.0,0.0,0.0
Chad,1,-0.2901730514200522,0.13981111537998858,0.06239706445458558,0.0,1.0,1.0
Chile,1,0.39088528053399185,-0.17548528513841563,-0.06006218783115997,1.0,0.0,0.0
China,1,0.3438294593519573,0.3176585528596129,0.11050258955939944,1.0,1.0,1.0
Colombia,1,0.2582507515535631,-0.06796005970816452,-0.024366374682733234,1.0,0.0,0.0
Comoros,1,-0.7286453201954304,0.35912969169188336,0.19927339427747995,0.0,1.0,1.0
"Congo, Dem. Rep.",1,-0.37989813522176735,0.19818945242003055,0.09214072419641953,0.0,1.0,1.0
"Congo, Rep.",1,-0.10202389192860668,-0.07445355740273212,-0.030654243492808004,0.0,0.0,0.0
Costa Rica,1,0.25480246994221223,-0.03581025706678021,-0.012855289910866213,1.0,0.0,0.0
Croatia,1,0.004512863601411591,-0.07734351435690477,-0.030506001203888324,0.0,0.0,0.0
Cuba,1,0.3343584024586719,0.06118041381762022,0.02135293247871893,1.0,0.0,0.0
Cura�ao,1,0.015923519587462274,-0.4557293013037978,-0.17894440597067818,0.0,0.0,0.0
Cyprus,1,0.14614705334294567,-0.08213779399692939,-0.030682911534096954,0.0,0.0,0.0
Czechia,1,0.5653455377389471,0.11035419239725576,0.03564196912650499,1.0,0.0,0.0
C�te d�Ivoire,1,0.08281108193259686,0.15728074525346497,0.06017661410681495,0.0,1.0,0.0
Denmark,1,0.4158913067275509,0.23395350556643385,0.0793942118623437,1.0,1.0,1.0
Djibouti,1,-0.8304873164448545,-0.8455992947325917,-0.4973078245604067,0.0,0.0,0.0
Dominica,1,-0.5833997308516494,-0.11693799500879842,-0.06004698800357174,0.0,0.0,0.0
Dominican Republic,1,0.11279863547841418,0.11029719174359126,0.04172171637550266,0.0,0.0,0.0
Ecuador,1,-0.018849423214863367,0.2909281429931893,0.11581572231612017,0.0,1.0,1.0
"Egypt, Arab Rep.",1,0.8387603683592906,0.24551410136520666,0.07286146323542333,1.0,1.0,1.0
El Salvador,1,-9.503835182421296E-4,0.189962782693549,0.0750873440325035,0.0,1.0,1.0
Equatorial Guinea,1,-1.1774105431953614,-0.0902939396566005,-0.06671486173074012,0.0,0.0,0.0
Eritrea,1,-0.3024991436511994,-0.016425478976655365,-0.007371165872748386,0.0,0.0,0.0
Estonia,1,0.2560232193710733,0.5618698367597467,0.20161362399458513,1.0,1.0,1.0
Eswatini,1,-0.12022918746036582,-0.08913810472858863,-0.03697737502904343,0.0,0.0,0.0
Ethiopia,1,0.257245549584255,0.026691889307069734,0.009573550477081562,1.0,0.0,0.0
Fiji,1,-0.3458854924951344,0.1015613657419792,0.04648211633162327,0.0,0.0,0.0
Finland,1,0.382943402460255,0.41191592198907284,0.1413680065874625,1.0,1.0,1.0
France,1,0.8625986917759595,0.15001241920790956,0.044206593793838636,1.0,1.0,0.0
Gabon,1,-0.2836171262726027,-0.014178194236656167,-0.006309203587081877,0.0,0.0,0.0
"Gambia, The",1,-0.6292636025768394,0.11598512861305543,0.060994159948862606,0.0,0.0,1.0
Georgia,1,-0.13128770575267795,-0.042724645266386245,-0.01780524802989519,0.0,0.0,0.0
Germany,1,1.0963306096239844,0.25732107318197,0.0709426203468413,1.0,1.0,1.0
Ghana,1,0.10935774660336608,0.206039589978805,0.07803941806313536,0.0,1.0,1.0
Gibraltar,1,0.2504735717527018,-0.40904308674698114,-0.1470682461914478,1.0,0.0,0.0
Greece,1,0.2905433965098332,-0.06255983697421778,-0.022173452310214285,1.0,0.0,0.0
Grenada,1,-0.2772321049616026,-0.04831298432323681,-0.021438049864399848,0.0,0.0,0.0
Guam,1,-1.4860420592906445,-0.2744314679153255,-0.2626643295850387,0.0,0.0,0.0
Guatemala,1,-0.10210166693140485,0.21318327355357392,0.08777527188867806,0.0,1.0,1.0
Guinea,1,-0.31562618259341424,-0.04603641873155041,-0.020781918778105087,0.0,0.0,0.0
Guinea-Bissau,1,-0.5852536499632999,0.11314191824556055,0.05815308480215223,0.0,0.0,0.0
Guyana,1,-0.23272052120098916,0.2883440395208891,0.12546949391832515,0.0,1.0,1.0
Haiti,1,-1.1646102311949365,0.05423686236558946,0.03969816472553841,0.0,0.0,0.0
Honduras,1,-0.14872781681479752,0.21212430472086274,0.08904878563567435,0.0,1.0,1.0
"Hong Kong SAR, China",1,0.7829048256811582,0.3504258339628542,0.10574915229283013,1.0,1.0,1.0
Hungary,1,0.5715062200273406,0.004290312295655461,0.0013829245096991,1.0,0.0,0.0
Iceland,1,0.3465994377611343,0.11751873654439839,0.04084141117642432,1.0,0.0,0.0
India,1,0.6301188773976227,0.4648909336348525,0.14707269977880003,1.0,1.0,1.0
Indonesia,1,0.42963930259388083,-0.080428568139316,-0.02716740335048964,1.0,0.0,0.0
"Iran, Islamic Rep.",1,0.3429954546960742,0.13138194468850867,0.045716566428213395,1.0,0.0,0.0
Iraq,1,-0.3690867611031114,0.36542872129215437,0.16904265969566715,0.0,1.0,1.0
Ireland,1,0.32419823828310734,0.3036827677050644,0.10636727563016705,1.0,1.0,1.0
Israel,1,0.5604223283730303,-0.03660732178604749,-0.011842187298730296,1.0,0.0,0.0
Italy,1,0.6986553981903745,-0.036558981299332584,-0.011320334330313377,1.0,0.0,0.0
Jamaica,1,0.13901967753866665,0.11228692065810672,0.042057217764170304,0.0,0.0,0.0
Japan,1,0.7138257421220146,0.14944321193481697,0.04605810526553722,1.0,1.0,0.0
Jordan,1,-0.18488316678929081,-0.027314772110228428,-0.011643333611169468,0.0,0.0,0.0
Kazakhstan,1,0.01829336752336187,-0.12384475397796905,-0.04858305841242497,0.0,0.0,0.0
Kenya,1,0.2727352541127622,0.3339896277947266,0.11912984444065827,1.0,1.0,1.0
Kiribati,1,-0.9516488273563808,-0.1538228369938356,-0.09740601518277403,0.0,0.0,0.0
"Korea, Rep.",1,0.5374219397447926,0.4078639429473351,0.13292990963406418,1.0,1.0,1.0
Kuwait,1,0.354292439538124,0.11125205122853989,0.038560449817666494,1.0,0.0,0.0
Kyrgyz Republic,1,0.091055654020558,-0.17948229311641428,-0.06845513098722338,0.0,0.0,0.0
Lao PDR,1,-0.14261498836277808,0.2946703452257348,0.12338460352606928,0.0,1.0,1.0
Latvia,1,0.2849748779296321,0.014554329546601366,0.005168778465307658,1.0,0.0,0.0
Lebanon,1,-0.17277476910154457,-0.2260020132418,-0.09584208889332439,0.0,0.0,0.0
Lesotho,1,-0.07335184477246265,0.07509639010298087,0.03055817503438164,0.0,0.0,0.0
Liberia,1,-0.6467827845870022,0.10807496432772899,0.057362851911362214,0.0,0.0,0.0
Libya,1,-0.2414283125956592,0.16349160482842842,0.07141202234212997,0.0,1.0,1.0
Liechtenstein,1,-0.3615198310870922,0.046260558795005645,0.02132489878626919,0.0,0.0,0.0
Lithuania,1,0.35684585186411794,-0.1104159584305716,-0.03823681588279292,1.0,0.0,0.0
Luxembourg,1,0.25391867333128654,-0.004924943513065171,-0.0017685343523845974,1.0,0.0,0.0
"Macao SAR, China",1,-0.2440637722747679,0.4674842120138865,0.2044292569688115,0.0,1.0,1.0
Madagascar,1,-0.27676430222290127,0.1427735090048395,0.06334012324357616,0.0,1.0,1.0
Malawi,1,-0.36387743926232835,0.046741252237618346,0.021569927893823636,0.0,0.0,0.0
Malaysia,1,0.20111212870515102,-0.23389495581061948,-0.08561455010170603,0.0,0.0,0.0
Maldives,1,-0.1969563160135698,-0.20674770632545392,-0.0885852198820687,0.0,0.0,0.0
Mali,1,-0.07194757603963965,0.13100357136262866,0.05327744546012024,0.0,0.0,0.0
Malta,1,0.2349473074416526,-0.007999024191587083,-0.002892131537633457,1.0,0.0,0.0
Marshall Islands,1,-0.5297553397421284,-0.03899101061133999,-0.01948492627536131,0.0,0.0,0.0
Mauritania,1,-0.7764656451856902,0.021501924502435498,0.012256169636454407,0.0,0.0,0.0
