Country name,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
Botswana,1,0.16193507823991782,0.04668524593185671,0.011096964655780764,0.0,0.0,0.0
Brazil,1,0.41214798301995637,-0.2371522413096144,-0.05320605792558112,1.0,0.0,0.0
British Virgin Islands,1,-0.9163697187765726,-0.4426357745155571,-0.14147487112197057,0.0,0.0,0.0
Brunei Darussalam,1,-0.10282730407617255,-0.31308913231259144,-0.07941856981135981,0.0,0.0,0.0
Bulgaria,1,0.3139615726563633,-0.22443302717326488,-0.051486625065116205,1.0,0.0,0.0
Burkina Faso,1,0.07739034879180172,0.04717948833333793,0.011444432923873095,0.0,0.0,0.0
Burundi,1,-0.2594154138128103,-0.08129015157970867,-0.021473076327302696,0.0,0.0,0.0
Cabo Verde,1,-0.3852980066802988,-0.06440115994747501,-0.017596929242170947,0.0,0.0,0.0
Cambodia,1,-0.24586114840133058,0.28885625671217136,0.0760301661765699,0.0,1.0,1.0
Cameroon,1,-0.0336088567839682,0.14532580617839935,0.03622743797438661,0.0,1.0,1.0
Canada,1,0.4043204806091427,0.48675201858532974,0.10939688587314966,1.0,1.0,1.0
Cayman Islands,1,-0.8466632368442164,-0.3152194316189832,-0.09855442172109652,0.0,0.0,0.0
Central African Republic,1,-0.6031578270629026,-0.24175829107708455,-0.0702390525525864,0.0,0.0,0.0
Chad,1,-0.3597391921935943,-0.11678774539899478,-0.0316896938387707,0.0,0.0,0.0
Chile,1,0.39088528053399185,-0.18837719031001282,-0.042465756802669154,1.0,0.0,0.0
China,1,0.3438294593519573,0.36831524889396117,0.08391928126776552,1.0,1.0,1.0
Colombia,1,0.21224044847268897,-0.10274423376489346,-0.02413346904077455,1.0,0.0,0.0
Comoros,1,-0.7561039903061304,0.3578114698223339,0.10879070411723407,0.0,1.0,1.0
"Congo, Dem. Rep.",1,-0.4183804416397132,0.17809980870104086,0.049107776794823914,0.0,1.0,1.0
"Congo, Rep.",1,-0.14570187495855422,-0.08617022014397559,-0.02209837621619966,0.0,0.0,0.0
Costa Rica,1,0.25480246994221223,-0.05522842039451184,-0.012844129840474516,1.0,0.0,0.0
Croatia,1,-0.024824757008458938,-0.0859651463090567,-0.021382935994581215,0.0,0.0,0.0
Cuba,1,0.3009965767512661,-0.08262660607593408,-0.01901171103178864,1.0,0.0,0.0
Cura�ao,1,0.03908767967336356,-0.4438478844980806,-0.10867487991541794,0.0,0.0,0.0
Cyprus,1,0.1461470533429457,-0.05538893730675034,-0.013215404459890088,0.0,0.0,0.0
Czechia,1,0.565345537738947,0.11009594364614926,0.023879709933763302,1.0,0.0,0.0
C�te d�Ivoire,1,0.08281108193259687,0.12707754352623063,0.030785001247941295,0.0,1.0,1.0
Denmark,1,0.3951272703879716,0.23516548688769864,0.05296256790815796,1.0,1.0,1.0
Djibouti,1,-0.9762498968438064,-1.768821651536304,-0.576380538903099,0.0,0.0,0.0
Dominica,1,-0.6198382174218575,-0.10353886135584937,-0.03022807263061719,0.0,0.0,0.0
Dominican Republic,1,0.11279863547841418,0.056442095966487214,0.013574690244615127,0.0,0.0,0.0
Ecuador,1,-0.018849423214863353,0.25413520512889964,0.06311967403181555,0.0,1.0,1.0
"Egypt, Arab Rep.",1,1.614128868959949,0.2892126498744538,0.05110466384916577,1.0,1.0,1.0
El Salvador,1,-0.018930089088740543,0.18370360378127978,0.04562745999793828,0.0,1.0,1.0
Equatorial Guinea,1,-1.1774105431953614,-0.6224626904939364,-0.21706120562916417,0.0,0.0,0.0
Eritrea,1,-0.5623674415549254,-0.18990851690747643,-0.05452869996789228,0.0,0.0,0.0
Estonia,1,0.2560232193710733,0.6625454500426338,0.1540403374719178,1.0,1.0,1.0
Eswatini,1,-0.12022918746036582,-0.2004705812011181,-0.05107707481652506,0.0,0.0,0.0
Ethiopia,1,0.18622849939224526,-0.13691670189531793,-0.03235790287491641,0.0,0.0,0.0
Fiji,1,-0.34363717127690735,0.06584410672672705,0.017788703497892768,0.0,0.0,0.0
Finland,1,0.38294340246025504,0.8374941804171737,0.18913442334508954,1.0,1.0,1.0
France,1,0.8625986917759594,0.15217995619336397,0.031008456614020376,1.0,1.0,1.0
Gabon,1,-0.3554539188896303,-0.03432595951240576,-0.009303337093231877,0.0,0.0,0.0
"Gambia, The",1,-0.7032732820174724,0.09793704823698499,0.029306499400888763,0.0,0.0,1.0
Georgia,1,-0.13128770575267792,-0.04846475867513744,-0.012383026369812224,0.0,0.0,0.0
Germany,1,1.142087265365902,0.28759750582148325,0.055443896474522705,1.0,1.0,1.0
Ghana,1,0.10935774660336608,0.39200055476294166,0.09435676201401423,0.0,1.0,1.0
Gibraltar,1,0.40833091745097694,-0.36700564247824596,-0.08240976364830721,1.0,0.0,0.0
Greece,1,0.28403628862299934,-0.06486584194877425,-0.014983575718541076,1.0,0.0,0.0
Grenada,1,-0.3118859754129241,-0.03528179689069474,-0.009450800134078912,0.0,0.0,0.0
Guam,1,-3.0450933642213163,-0.30205906164408514,-0.30205906164408514,0.0,0.0,0.0
Guatemala,1,-0.12267997056335472,0.2038163021181805,0.051961963633849834,0.0,1.0,1.0
Guinea,1,-0.31562618259341424,-0.17256270968554244,-0.04627007057083669,0.0,0.0,0.0
Guinea-Bissau,1,-0.7633848427899781,-0.033332930834377196,-0.01015718812828594,0.0,0.0,0.0
Guyana,1,-0.23680712720237274,0.2354029452746558,0.06181335399277259,0.0,1.0,1.0
Haiti,1,-1.1646102311949365,0.014093286376188337,0.0048926814445121305,0.0,0.0,0.0
Honduras,1,-0.5319444539180594,0.21209757681251437,0.060372498356241325,0.0,1.0,1.0
"Hong Kong SAR, China",1,0.7670988158131031,0.7366332423066155,0.1530764389175635,1.0,1.0,1.0
Hungary,1,0.5715062200273406,0.001697758201188362,3.6775080233965513E-4,1.0,0.0,0.0
Iceland,1,0.3465994377611342,0.12687424912643908,0.028889600171753103,1.0,1.0,0.0
India,1,0.60235551092682,0.4931188271081549,0.10610527202247855,1.0,1.0,1.0
Indonesia,1,0.4408058784259341,-0.14937063227173097,-0.03329781258831469,1.0,0.0,0.0
"Iran, Islamic Rep.",1,0.3429954546960741,0.11297399175947057,0.025745602794645116,1.0,0.0,0.0
Iraq,1,-0.3690867611031114,0.33499930583013265,0.09113131231754767,0.0,1.0,1.0
Ireland,1,0.32419823828310734,0.3152231194623066,0.07214513201216065,1.0,1.0,1.0
Israel,1,0.5604223283730304,-0.04324872700176162,-0.009390637202974995,1.0,0.0,0.0
Italy,1,0.6986553981903746,-0.036459445845683294,-0.007685787690650705,1.0,0.0,0.0
Jamaica,1,0.13901967753866667,0.0830921171036083,0.019858956073676458,0.0,0.0,0.0
Japan,1,0.7138257421220146,0.24217628959925325,0.05088892754584711,1.0,1.0,1.0
Jordan,1,-0.21896331996245647,-0.025815239449905585,-0.006747088873427491,0.0,0.0,0.0
Kazakhstan,1,-0.02245469011776682,-0.1490041479589201,-0.037041394972449494,0.0,0.0,0.0
