INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_valid,Year,Value,val_std,mu,sd,z
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LBN,Lebanon,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,true,2020,389.8890380859375,5.968423729647805,6.038967468894472,0.14863525656586127,-0.47460973174563625
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MKD,North Macedonia,Harmonized Test Scores,Europe & Central Asia,Upper middle income,IBRD,true,2020,413.6173095703125,6.027355949179163,6.038967468894472,0.14863525656586127,-0.07812089798603153
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NIC,Nicaragua,Harmonized Test Scores,Latin America & Caribbean,Lower middle income,IDA,true,2020,391.9904479980469,5.9737853062254,6.038967468894472,0.14863525656586127,-0.4385376940510034
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ZAF,South Africa,Harmonized Test Scores,Sub-Saharan Africa,Upper middle income,IBRD,true,2020,342.7639770507813,5.8399553086655285,6.038967468894472,0.14863525656586127,-1.3389297050175981
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,AUT,Austria,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,507.6393737792969,6.231739265994891,6.038967468894472,0.14863525656586127,1.2969452978674718
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CAF,Central African Republic,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,368.7301635742188,5.912773451941431,6.038967468894472,0.14863525656586127,-0.8490180584922269
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,FSM,"Micronesia, Fed. Sts.",Harmonized Test Scores,East Asia & Pacific,Lower middle income,IDA,true,2020,379.902587890625,5.942543667608565,6.038967468894472,0.14863525656586127,-0.6487276539478474
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,HND,Honduras,Harmonized Test Scores,Latin America & Caribbean,Lower middle income,IDA,true,2020,399.7507934570313,5.9933397714179115,6.038967468894472,0.14863525656586127,-0.30697762112949734
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,JAM,Jamaica,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,IBRD,true,2020,387.1329956054688,5.961348053069354,6.038967468894472,0.14863525656586127,-0.5222140265941823
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KNA,St. Kitts and Nevis,Harmonized Test Scores,Latin America & Caribbean,High income,IBRD,true,2020,409.074462890625,6.0163387600144205,6.038967468894472,0.14863525656586127,-0.15224321202705166
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,SDN,Sudan,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,379.6336669921875,5.941837408627744,6.038967468894472,0.14863525656586127,-0.6534792788122209
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,AFG,Afghanistan,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,true,2020,354.7587890625,5.874252942392117,6.038967468894472,0.14863525656586127,-1.108179380235869
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,CMR,Cameroon,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,Blend,true,2020,378.8688354492188,5.939826023265123,6.038967468894472,0.14863525656586127,-0.6670116358659405
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MEX,Mexico,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,IBRD,true,2020,430.0651245117188,6.066259179644413,6.038967468894472,0.14863525656586127,0.18361532371592804
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MRT,Mauritania,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,IDA,true,2020,342.0935668945313,5.838003199745548,6.038967468894472,0.14863525656586127,-1.3520632573461855
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MYS,Malaysia,Harmonized Test Scores,East Asia & Pacific,Upper middle income,IBRD,true,2020,445.6753234863281,6.10183198502858,6.038967468894472,0.14863525656586127,0.42294484893126594
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NGA,Nigeria,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,Blend,true,2020,309.0249633789063,5.736652821265795,6.038967468894472,0.14863525656586127,-2.0339363258320833
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,PNG,Papua New Guinea,Harmonized Test Scores,East Asia & Pacific,Lower middle income,Blend,true,2020,363.3206176757813,5.898034297734999,6.038967468894472,0.14863525656586127,-0.9481813024423608
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,POL,Poland,Harmonized Test Scores,Europe & Central Asia,High income,IBRD,true,2020,530.0858154296875,6.274923619162987,6.038967468894472,0.14863525656586127,1.5874843944845687
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,TTO,Trinidad and Tobago,Harmonized Test Scores,Latin America & Caribbean,High income,IBRD,true,2020,458.2889404296875,6.129679511855442,6.038967468894472,0.14863525656586127,0.6102996358792888
