INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_valid,Year,Value,val_std,mu,sd,z
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,FRA,France,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,510.2605895996094,6.236879420295767,6.0389674688944694,0.14863525656586127,1.3315276333081956
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,FSM,"Micronesia, Fed. Sts.",Harmonized Test Scores,East Asia & Pacific,Lower middle income,IDA,true,2020,379.902587890625,5.942543667608565,6.0389674688944694,0.14863525656586127,-0.6487276539478294
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GAB,Gabon,Harmonized Test Scores,Sub-Saharan Africa,Upper middle income,IBRD,true,2020,456.127685546875,6.1249627513155644,6.0389674688944694,0.14863525656586127,0.5785658423712541
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GBR,United Kingdom,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,520.3564453125,6.25643396389535,6.0389674688944694,0.14863525656586127,1.4630882337429771
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GEO,Georgia,Harmonized Test Scores,Europe & Central Asia,Upper middle income,IBRD,true,2020,399.7662963867188,5.993378455383321,6.0389674688944694,0.14863525656586127,-0.3067173600965092
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GHA,Ghana,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,IDA,true,2020,307.2757873535156,5.730994795815503,6.0389674688944694,0.14863525656586127,-2.0720028356293887
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GIN,Guinea,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,IDA,true,2020,408.2490844726563,6.014323979162991,6.0389674688944694,0.14863525656586127,-0.165798413518121
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GMB,"Gambia, The",Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,352.8996276855469,5.869013335317937,6.0389674688944694,0.14863525656586127,-1.1434308218873015
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GRC,Greece,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,468.63623046875,6.151958417302642,6.0389674688944694,0.14863525656586127,0.7601894127864968
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GTM,Guatemala,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,IBRD,true,2020,405.257568359375,6.006987363278107,6.0389674688944694,0.14863525656586127,-0.21515827640928561
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GUY,Guyana,Harmonized Test Scores,Latin America & Caribbean,High income,IDA,true,2020,346.3659057617188,5.850378707832869,6.0389674688944694,0.14863525656586127,-1.2688023381453624
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,HKG,"Hong Kong SAR, China",Harmonized Test Scores,East Asia & Pacific,High income,,true,2020,548.6314086914062,6.309247887549268,6.0389674688944694,0.14863525656586127,1.8184139140301172
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,HND,Honduras,Harmonized Test Scores,Latin America & Caribbean,Lower middle income,IDA,true,2020,399.7507934570313,5.9933397714179115,6.0389674688944694,0.14863525656586127,-0.3069776211294794
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,HRV,Croatia,Harmonized Test Scores,Europe & Central Asia,High income,IBRD,true,2020,487.5812377929688,6.19150575815382,6.0389674688944694,0.14863525656586127,1.0262591311352822
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,HTI,Haiti,Harmonized Test Scores,Latin America & Caribbean,Lower middle income,IDA,true,2020,337.8153076171875,5.825455143626142,6.0389674688944694,0.14863525656586127,-1.4364850588037892
