Country name,avg_all_indicators_population_mad,n_roots_used
Palau,0.23818778541263338,2
Panama,-0.04938875216015244,25
Papua New Guinea,-0.9138041519663261,2
Paraguay,0.6033643562188094,25
Peru,-0.1383944028976636,25
Philippines,0.22817408960918906,33
Poland,0.1746583461700376,31
Portugal,-0.1813996490641705,37
Qatar,0.3164737412591508,36
Romania,0.18903752145935496,37
Russian Federation,-0.11580103131787936,37
Rwanda,-1.3321778035460823,2
Samoa,-0.6646982438683959,2
Saudi Arabia,0.2875365341830441,37
Senegal,0.6144458414868196,34
Serbia,-0.039198010657595025,34
Seychelles,0.40980523962927834,5
Sierra Leone,-1.4589594832187731,2
Singapore,0.30988247025642285,36
Slovak Republic,0.17461506646201896,37
Slovenia,-0.02303786372344948,40
Solomon Islands,-1.0338008928112146,2
South Africa,0.6637018272873283,32
South Asia,1.0799217180381318,5
South Sudan,-1.994335575761129,2
Spain,-0.042574705701155235,37
Sri Lanka,0.0027045087190869523,9
St. Kitts and Nevis,-0.1024615204023005,2
St. Lucia,-0.0394636716172524,2
St. Vincent and the Grenadines,-0.28255409791125274,2
Sub-Saharan Africa,1.6041343311382832,5
Sub-Saharan Africa (excluding high income),1.6041343311382832,5
Sudan,-1.0409093683241946,2
Sweden,-0.028826604718840736,40
Switzerland,0.8429139217419497,11
Syrian Arab Republic,0.37642146332662363,6
Tajikistan,-0.012394726323166586,2
Tanzania,-0.5170924046097307,5
Thailand,-0.06518724714985108,34
Timor-Leste,-0.7283057719529022,2
Togo,0.7359537416096686,25
Tonga,-0.5160953693002767,2
Trinidad and Tobago,-0.07325547545267953,25
Tunisia,0.019375525575308552,29
Tuvalu,-0.774190499253485,2
T�rkiye,0.2739447215799787,43
Uganda,0.46903566873503105,12
Ukraine,0.30107533462124747,34
United Arab Emirates,0.4217330072378699,38
United Kingdom,0.1299991621794368,52
United States,0.1895218157540831,37
Upper middle income,0.3515820156143817,5
Uruguay,-0.30681481675237376,25
Uzbekistan,0.8402009395636223,11
Vanuatu,-0.9889362384915478,2
Vietnam,0.017986201065150562,27
West Bank and Gaza,0.6638630266213085,8
World,0.9939446990978826,5
"Yemen, Rep.",0.7047257295320911,15
Zambia,0.4996450064798097,19
Zimbabwe,0.019032380818624038,5
