economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,,-0.14464037537018215,56,0.22980336713145935,7,3.900452988851134,0.058917097011121064
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IDA,-0.9762498968438063,100,-0.2028564888435849,1,3.0688434673775102,-0.06610193416509984
MKD,North Macedonia,Europe & Central Asia,Upper middle income,IBRD,-0.6258418280626312,51,-0.09225289661647067,7,3.419251536158685,-0.02698043581786645
ETH,Ethiopia,Sub-Saharan Africa,,IDA,0.1640018826264349,94,-1.3691433755877005,6,4.209095246847751,-0.32528210821864173
ABW,Aruba,Latin America & Caribbean,High income,,-0.2535353709689735,101,-0.2028564888435849,1,3.7915579932523427,-0.05350214587370127
ECU,Ecuador,Latin America & Caribbean,Upper middle income,IBRD,-0.01884942321486335,110,0.1692894390036924,7,4.026243941006452,0.042046493328313984
SDN,Sudan,Sub-Saharan Africa,Low income,IDA,-0.31761881895308325,6,-1.0928954287615606,6,3.727474545268233,-0.29319997104981294
NOR,Norway,Europe & Central Asia,High income,,0.8096352733287142,101,1.070617650758962,7,4.85472863755003,0.2205308948636223
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,-0.2624036993491947,97,0.3005973162830233,7,3.7826896648721213,0.07946655499511757
MEX,Mexico,Latin America & Caribbean,Upper middle income,IBRD,0.5138837547709872,110,0.2552488879560891,7,4.558977118992304,0.055988192371649405
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,-0.3690867611031114,23,-1.3141478904892732,6,3.676006603118205,-0.35749334328576443
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,-0.14097082049162404,110,0.21543500419635278,7,3.904122543729692,0.055181414462093986
CAF,Central African Republic,Sub-Saharan Africa,Low income,IDA,-0.6031578270629026,105,-1.2405394443897533,3,3.4419355371584137,-0.36041913946299975
COL,Colombia,Latin America & Caribbean,Upper middle income,IBRD,0.18117076350347083,110,0.15242025063451944,7,4.226264127724788,0.03606500825034213
WSM,Samoa,East Asia & Pacific,Upper middle income,IDA,-0.7524867157696555,74,-0.41911828267538226,7,3.2926066484516605,-0.12729072355863447
GAB,Gabon,Sub-Saharan Africa,Upper middle income,IBRD,-0.3554539188896303,81,-0.054288129661538766,7,3.689639445331686,-0.014713667952088595
LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA,-0.1439688435576916,110,-0.6156743011651613,7,3.9011245206636245,-0.15781969991063713
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,0.3429954546960741,110,0.17809118689214776,7,4.3880888189173906,0.04058513722976227
CUB,Cuba,Latin America & Caribbean,Upper middle income,,0.4715332733107742,59,-0.20214537580964076,1,4.516626637532091,-0.04475583040888544
LIE,Liechtenstein,Europe & Central Asia,High income,,-0.48145411630353635,79,-0.2028564888435849,1,3.56363924791778,-0.05692396865426632
VEN,"Venezuela, RB",Latin America & Caribbean,,IBRD,0.12774032382701597,84,-0.2028564888435849,1,4.172833688048332,-0.04861360504843473
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,IBRD,-0.09044882664314452,106,0.3764675452151881,7,3.954644537578172,0.09519630440558817
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,Blend,-0.08734108085329684,100,-0.2979004884078859,7,3.9577522833680194,-0.07527011977474615
BMU,Bermuda,North America,High income,,-0.6557208714376517,83,-0.2028564888435849,1,3.3893724927836644,-0.059850750920852756
UGA,Uganda,Sub-Saharan Africa,Low income,IDA,-0.5288274978835303,104,-0.8750554683100681,4,3.516265866337786,-0.24885930176305016
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Blend,-0.4403808662134865,110,-0.6443898024529712,6,3.60471249800783,-0.17876316150292093
HTI,Haiti,Latin America & Caribbean,Lower middle income,IDA,-1.1646102311949365,28,-0.9909957104477091,6,2.88048313302638,-0.3440380188605789
GHA,Ghana,Sub-Saharan Africa,Lower middle income,IDA,0.10664273079258535,110,-1.186370352917351,7,4.151736095013902,-0.2857528334573439
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Blend,-0.3258965480223351,21,-1.5650227152485103,6,3.719196816198981,-0.4207958848620341
EST,Estonia,Europe & Central Asia,High income,,0.2694692073391548,110,1.283141778013787,7,4.3145625715604705,0.29739788373255793
KOR,"Korea, Rep.",East Asia & Pacific,High income,,0.5374219397447926,105,1.3200474253336083,7,4.582515303966109,0.28806176035923414
PER,Peru,Latin America & Caribbean,Upper middle income,IBRD,0.08158513391783778,110,0.1806934764300798,6,4.126678498139154,0.04378666196350407
ESP,Spain,Europe & Central Asia,High income,,0.4846531554556846,110,0.9500124183312033,7,4.529746519677001,0.20972750113155228
MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,0.20111212870515102,98,0.3636453913266454,7,4.246205492926467,0.08564008311242198
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,0.04267184454274208,110,0.08069528730302711,7,4.087765208764058,0.019740685480178412
BTN,Bhutan,South Asia,Lower middle income,IDA,-0.45330079996833306,94,-0.5090786472462785,7,3.5917925642529833,-0.14173386634652607
GTM,Guatemala,Latin America & Caribbean,Upper middle income,IBRD,-0.18988654699061813,110,-0.33335841771831465,7,3.855206817230698,-0.08646965870375152
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,Blend,-0.3762809537607822,105,-0.18495897132585712,7,3.668812410460534,-0.05041385348525896
ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,0.34861761371982664,110,0.046091214210441024,7,4.393710977941143,0.010490269943071902
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Blend,-0.5341006342983817,24,-0.7073711761274514,7,3.5109927299229344,-0.2014732671186642
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,IDA,0.061053750045431364,57,-0.8578426007556302,7,4.106147114266747,-0.20891667465470706
LTU,Lithuania,Europe & Central Asia,High income,,0.3711876840599089,110,0.940084099369187,7,4.416281048281225,0.21286781549717243
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.11767800345186138,105,0.18315475515891996,7,4.1627713676731775,0.04399827398190647
DNK,Denmark,Europe & Central Asia,High income,,0.44529587192490855,110,1.0784778104833344,7,4.490389236146225,0.24017468280966076
PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,0.19537766659434128,105,-0.4465416438946112,7,4.240471030815657,-0.10530472691584894
VNM,Vietnam,East Asia & Pacific,Lower middle income,IBRD,0.45096117866807567,93,1.032952627863171,7,4.496054542889392,0.2297464628174514
USA,United States,North America,High income,,1.042653181235799,110,1.478667268886411,7,5.087746545457115,0.29063304464463224
BRN,Brunei Darussalam,East Asia & Pacific,High income,,-0.09801704545216457,106,0.37063698524184735,7,3.9470763187691515,0.0939016515792697
MNG,Mongolia,East Asia & Pacific,Upper middle income,IBRD,0.03608864745956786,105,0.33163474079235616,7,4.081182011680884,0.08125948312110892
SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD,0.2329619403331598,72,0.5575943153289493,7,4.278055304554476,0.13033826718773991
TCD,Chad,Sub-Saharan Africa,Low income,IDA,-0.2977266347747627,109,-1.8208388043394301,7,3.7473667294465534,-0.4858982148801724
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,IDA,-0.4183804416397132,110,-1.4823617371854407,7,3.626712922581603,-0.4087342364364068
PAN,Panama,Latin America & Caribbean,High income,IBRD,-0.14651679579957305,87,-0.5048441760016558,7,3.8985765684217433,-0.1294944878320118
KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA,-0.3027179020465032,97,0.026075888635292338,3,3.742375462174813,0.0069677371762529704
TUR,T�rkiye,Europe & Central Asia,Upper middle income,IBRD,0.4837481517576568,96,0.640259368096156,7,4.528841515978973,0.1413737632101164
MCO,Monaco,Europe & Central Asia,High income,,-0.566107330950048,93,-0.2028564888435849,1,3.4789860332712683,-0.058309083998489136
NZL,New Zealand,East Asia & Pacific,High income,,0.5797256576686312,90,1.1991553003185744,7,4.624819021889947,0.2592869676938268
SMR,San Marino,Europe & Central Asia,High income,,-0.3676070739313725,110,-0.2028564888435849,1,3.6774862902899437,-0.055161725382690985
GIN,Guinea,Sub-Saharan Africa,Lower middle income,IDA,-0.34029922888819486,110,-0.7031486428721413,7,3.7047941353331213,-0.1897942550076178
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,IDA,-0.5187125057242913,105,-0.681281026376013,7,3.526380858497025,-0.19319553210891152
GRD,Grenada,Latin America & Caribbean,Upper middle income,Blend,-0.3118859754129241,88,-0.07329784552092262,7,3.7332073888083923,-0.019634013835036008
COM,Comoros,Sub-Saharan Africa,Lower middle income,IDA,-0.7561039903061304,100,-0.6649556493340888,7,3.288989373915186,-0.20217628387851283
ITA,Italy,Europe & Central Asia,High income,,0.7298271830186454,110,0.8626888541460271,7,4.774920547239962,0.18067082909781307
CIV,C�te d�Ivoire,Sub-Saharan Africa,Lower middle income,Blend,0.04513099205402378,110,-0.8887666908462636,7,4.09022435627534,-0.21729044996827426
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,Blend,-0.3986899161526754,103,-0.2028564888435849,1,3.6464034480686407,-0.055631937533141086
CRI,Costa Rica,Latin America & Caribbean,High income,IBRD,0.21996750387946412,108,0.26909665560757434,7,4.265060868100781,0.06309327438213146
GMB,"Gambia, The",Sub-Saharan Africa,Low income,IDA,-0.7904176880041086,106,-0.9189937545769398,7,3.2546756762172078,-0.2823610847901912
BEN,Benin,Sub-Saharan Africa,Lower middle income,IDA,-0.21008524546838286,110,-0.6146151146790285,7,3.8350081187529335,-0.16026435815705362
CHN,China,East Asia & Pacific,Upper middle income,IBRD,0.3438294593519573,89,0.48656537665279104,6,4.388922823573274,0.11086214003112733
SLE,Sierra Leone,Sub-Saharan Africa,Low income,IDA,-0.27405419703630673,108,-1.5430833650578346,6,3.7710391671850094,-0.4091931419025036
GBR,United Kingdom,Europe & Central Asia,High income,,0.42759265807652336,110,2.3700829477177088,7,4.4726860222978395,0.5299014811015239
IRL,Ireland,Europe & Central Asia,High income,,0.34288902831998325,110,1.2533973126377655,7,4.3879823925413,0.285643195553449
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.4939225691439475,101,0.48608276456596056,7,4.539015933365263,0.10708990047663808
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,,-0.6359607322251414,110,-0.2028564888435849,1,3.409132631996175,-0.05950384180999283
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,0.24830943110872822,87,0.006940223529214148,7,4.293402795330044,0.0016164855384086171
GIB,Gibraltar,Europe & Central Asia,High income,,0.40833091745097694,14,-0.2028564888435849,1,4.453424281672293,-0.04555067651614161
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,-0.19478937935851698,110,-1.0416703275335506,7,3.850303984862799,-0.2705423601951442
