Country name,avg_all_roots_z_M,avg_all_roots_z_F,n_roots_used,diff_abs_F_M_z
Europe & Central Asia (excluding high income),-0.2843595675546822,-0.219196257670849,5,0.06516330988383323
Fiji,-0.6401194868169042,-0.32873184490533447,2,0.31138764191156976
Finland,0.0539741467452289,0.1878615010817143,36,0.13388735433648538
France,-0.07611166482370073,-0.1043041851620971,37,0.028192520338396365
Gabon,-0.1991098376540446,-0.17642871726455506,23,0.02268112038948955
"Gambia, The",-1.3158226860418267,-1.2836794311750706,2,0.03214325486675618
Georgia,-0.32360076035053653,-0.2895395530735504,37,0.03406120727698614
Germany,0.07898303859945646,0.013238740635421523,31,0.06574429796403494
Ghana,-0.8470802807768838,-0.8365555197726746,5,0.010524761004209182
Greece,-0.12386717112801375,-0.14681875798737729,25,0.022951586859363535
Grenada,-0.345698674561036,-0.11379225002740981,2,0.23190642453362617
Guatemala,0.1305436221162399,0.22311062249110558,25,0.09256700037486568
Guinea,0.4949561090676661,0.542400117762404,23,0.04744400869473797
Guyana,-0.9390152800234357,-0.7463993192955419,2,0.19261596072789378
Haiti,-1.0611819133225526,-0.9719389033936641,2,0.08924300992888856
High income,-0.3707624756916936,-0.37553791460938357,5,0.004775438917689945
Honduras,0.06311398037861836,0.1465004939966182,40,0.08338651361799983
"Hong Kong SAR, China",0.25321492546843105,0.22227190589334178,37,0.03094301957508927
Hungary,-0.05329970951716827,-0.0347223728351836,37,0.01857733668198467
IBRD only,0.6254710641297493,0.5751597129004903,5,0.050311351229259005
IDA & IBRD total,1.070780324726556,1.1099361204095242,3,0.03915579568296823
IDA blend,1.614970128215776,1.7862630278010543,5,0.17129289958527827
IDA only,1.6153147965364425,1.6929308909557725,5,0.07761609441933004
Iceland,-0.14399530613610814,-0.08129444565249178,28,0.06270086048361637
India,0.37145504254015876,0.3784783478349928,5,0.007023305294834026
Indonesia,-0.02968019634968954,0.05938861617372017,37,0.0890688125234097
"Iran, Islamic Rep.",0.19125933625409713,0.24119801607836291,28,0.04993867982426578
Iraq,-1.5325007057471831,-1.2117734017245514,2,0.3207273040226317
Ireland,-0.01545518760317651,-0.06570863090000152,37,0.05025344329682501
Israel,0.08203797110826994,0.03353764922759282,31,0.048500321880677114
Italy,-0.12036145320803625,-0.12685465329612644,37,0.0064932000880901924
Jamaica,-0.5743233416443707,-0.245314297511519,2,0.3290090441328517
Japan,0.23365708710040392,0.1448106981198022,33,0.08884638898060171
Jordan,0.1578191914865177,0.1689732074725032,30,0.011154015985985477
Kazakhstan,-0.40539793690923864,-0.3835493339068076,37,0.021848603002431022
Kenya,0.7089345868382397,0.733707595787264,9,0.024773008949024233
Kiribati,-0.5603562341955216,-0.21117536738707537,2,0.34918086680844623
"Korea, Rep.",0.21131653813426277,0.23155714564434468,34,0.020240607510081915
Kosovo,-0.5988328868339272,-0.5938412411175795,25,0.004991645716347692
Kuwait,0.4456979020332845,0.2721290646988623,31,0.17356883733442224
Kyrgyz Republic,-1.0048892057297836,-0.9614591956472218,10,0.043430010082561754
Lao PDR,0.4140697580299011,0.5003196083819337,17,0.08624985035203259
Latin America & Caribbean,0.5744145515311175,0.5822039351986901,5,0.007789383667572536
Latin America & Caribbean (excluding high income),0.8147770971731952,0.7789725654617984,3,0.03580453171139686
Latvia,-0.24227476528000283,-0.21316946866823913,37,0.029105296611763698
Lebanon,-0.4929040856707805,-0.5381464132126164,17,0.04524232754183588
Lesotho,-0.6418195333511656,-0.616599405257862,5,0.02522012809330354
Liberia,-1.4642380195345612,-1.758100465203478,1,0.2938624456689167
Liechtenstein,0.6868090194083847,0.3833439683322135,9,0.30346505107617117
Lithuania,-0.3457512308435133,-0.2924227253558248,37,0.05332850548768847
Low income,1.7223583079334284,1.8262827046619687,5,0.10392439672854037
Lower middle income,1.0284303808383473,1.0418828934480628,5,0.013452512609715583
Luxembourg,-0.33967243918949,-0.4601332561035416,25,0.12046081691405158
"Macao SAR, China",0.28277410909180384,0.219107005240231,25,0.06366710385157284
Madagascar,0.24255055564111586,0.16750404222819396,23,0.0750465134129219
Malawi,-0.6079838618120391,-0.48511725153234175,5,0.12286661027969736
Malaysia,-0.26003183749169495,-0.23029031743428924,32,0.029741520057405713
Mali,0.3433736033261773,0.3466498519409432,7,0.003276248614765942
Malta,-0.1495506613316113,-0.13057274907520253,43,0.01897791225640877
Marshall Islands,-1.2014096401371135,-0.9947581788376558,2,0.20665146129945766
Mauritania,-1.660248253336769,-1.5912403601562568,2,0.06900789318051226
Mauritius,-0.21542191039473924,-0.28795870396914486,14,0.07253679357440562
Mexico,-0.14846588409491243,-0.14864709875888182,25,1.8121466396939234E-4
"Micronesia, Fed. Sts.",-0.8942725134376388,-0.6825876452138984,2,0.21168486822374044
"Middle East, North Africa, Afghanistan and Pakistan",0.9518020519785717,1.051043402080202,5,0.09924135010163027
"Middle East, North Africa, Afghanistan and Pakistan (excluding high income)",0.9873912649835319,1.1146306662072587,5,0.1272394012237268
Moldova,-0.3090063153891484,-0.25932510791905033,26,0.04968120747009808
Mongolia,-0.010886521025992852,0.011012920507700676,25,0.021899441533693526
Montenegro,-0.4009019631310938,-0.35113002963945183,23,0.04977193349164194
Morocco,-0.03056676046350739,0.027492548829794905,40,0.058059309293302296
Mozambique,-0.5119027220990694,-0.3878360405989524,4,0.12406668150011702
Myanmar,-0.030867742425936616,0.019760258877129098,17,0.05062800130306572
Namibia,-0.41465667319601823,-0.4339600872100936,5,0.01930341401407537
Nauru,-1.1963070168029053,-0.6881563912522268,2,0.5081506255506785
Netherlands,-0.11042309556342374,-0.1694797043002002,37,0.05905660873677647
New Zealand,0.05632006462225615,0.02450627354931876,52,0.03181379107293739
Nicaragua,0.19157357627557153,0.11774471886936487,16,0.07382885740620666
Niger,0.6270054180778815,0.6324971724316476,22,0.005491754353766143
Nigeria,-1.5351716719724005,-1.7130507533626802,2,0.17787908139027975
North America,-0.621316529807035,-0.502940588880924,5,0.11837594092611103
North Macedonia,-0.11857287532095456,-8.89743905471528E-4,37,0.11768313141548303
Norway,-0.17990579822174418,-0.18840874676766198,52,0.008502948545917793
Oman,0.49075567574902584,0.3459066481257567,28,0.14484902762326912
Pakistan,1.1861568315370032,1.2049560848507326,8,0.018799253313729336
Palau,0.2037599797057928,0.41299297364174636,2,0.20923299393595357
Panama,-0.15077022529074613,-0.14688024030767444,25,0.0038899849830716926
Papua New Guinea,-0.9453547204009296,-1.0728234979856346,2,0.12746877758470498
Paraguay,0.4741204316826861,0.4039658691909579,25,0.07015456249172819
Peru,-0.2323797785849691,-0.1963958426976478,25,0.03598393588732132
Philippines,0.015462297499110702,-0.012005422832348926,38,0.027467720331459628
Poland,0.08079650489439505,0.07901107012999682,31,0.0017854347643982277
Portugal,-0.21237921580638064,-0.2339328525491607,37,0.021553636742780075
Qatar,-0.030086014092689614,-0.04943189230032901,37,0.019345878207639396
Romania,-0.012475243894954063,0.08775443589232804,37,0.1002296797872821
Russian Federation,-0.1803653237370992,-0.1607197943151882,37,0.019645529421911
Rwanda,-1.592865059437094,-1.3820434984975907,2,0.21082156093950344
Samoa,-0.8901780525698095,-0.5634189336491103,2,0.3267591189206992
Saudi Arabia,0.03448467474714555,-0.02837407931739437,37,0.06285875406453992
Senegal,0.3376071807138905,0.36971190132133125,34,0.03210472060744074
Serbia,-0.16321318768428422,-0.14852064695523148,34,0.014692540729052739
Seychelles,0.5289160094581946,0.16788839824228716,5,0.36102761121590743
Sierra Leone,-1.58108717714597,-1.6823280632979394,2,0.10124088615196936
Singapore,0.23583477996373162,0.19598847518490234,37,0.03984630477882928
Slovak Republic,-0.008670691761374052,0.06468430999354396,37,0.07335500175491802
Slovenia,-0.17960374975232868,-0.1199972217865429,40,0.05960652796578578
Solomon Islands,-1.2659246511610434,-1.0260708380449364,2,0.23985381311610698
South Africa,0.6587923349074597,0.5876840921515117,35,0.07110824275594796
South Asia,1.1517697905287378,1.2296193471062624,3,0.07784955657752457
Spain,-0.04603416639965696,-0.09647374131988862,37,0.050439574920231656
St. Kitts and Nevis,-0.07247850028016922,-0.08928199309444179,2,0.01680349281427257
St. Lucia,-0.08831571066930329,0.06393468303786784,2,0.15225039370717114
St. Vincent and the Grenadines,-0.3625048686317665,-0.21915724443184337,2,0.14334762419992314
Sub-Saharan Africa,1.6464989267956365,1.7216185819035474,5,0.07511965510791097
Sub-Saharan Africa (excluding high income),1.6464989267956365,1.7216185819035474,5,0.07511965510791097
Sudan,-1.2152307545020002,-1.0959132452796458,2,0.1193175092223544
Sweden,-0.0773931190910577,-0.05546143753024953,40,0.021931681560808172
Switzerland,0.7334794192906892,0.5630965566024,11,0.17038286268828917
Syrian Arab Republic,-0.022895531992947287,0.08878331853851436,6,0.11167885053146165
Tajikistan,0.19001583675513328,0.058757659803484276,2,0.131258176951649
Tanzania,-0.4829550626554801,-0.4255785828669197,5,0.05737647978856042
Thailand,-0.18643721182489476,-0.12353037569305758,34,0.06290683613183717
Timor-Leste,-0.8551350791657509,-0.7376614628072024,2,0.11747361635854858
Togo,0.3199384981632014,0.39618153862214234,25,0.07624304045894092
Tonga,-0.6968745867104603,-0.4107319353024274,2,0.2861426514080329
Trinidad and Tobago,-0.2433718052958642,-0.15913585904814564,25,0.08423594624771855
Tunisia,-0.17243238963975968,-0.13817826552031223,34,0.03425412411944745
Tuvalu,-1.0356523194242122,-0.7741296513670382,2,0.26152266805717406
T�rkiye,0.10418625957490088,0.1527634763138727,43,0.04857721673897181
Uganda,-0.31606197715771067,-0.2115354822083848,4,0.10452649494932587
Ukraine,0.23508641670604286,0.20104203203872092,34,0.03404438466732193
United Arab Emirates,0.08241768805210366,0.09939080589806992,39,0.016973117845966265
United Kingdom,-0.012970004240111799,-0.045994948189747205,52,0.033024943949635406
United States,0.12501192820633686,0.0917242601020003,37,0.03328766810433656
Upper middle income,0.3323563030633373,0.3710247871146093,5,0.03866848405127199
Uruguay,-0.3306232290795787,-0.3274417027021473,25,0.0031815263774314095
Uzbekistan,0.8426439720603319,0.7669888227517395,8,0.0756551493085924
Vanuatu,-1.1571061263504767,-1.0349173097181914,2,0.12218881663228531
Vietnam,0.19295625105019795,0.2683984730149492,26,0.07544222196475123
West Bank and Gaza,0.2850458290770917,0.2405214535085548,8,0.04452437556853689
World,0.9413414005975277,1.0089750441910668,5,0.06763364359353907
"Yemen, Rep.",0.5715861049387481,0.6628344880392025,22,0.09124838310045447
Zambia,0.48618764961213334,0.5140210955642993,13,0.02783344595216597
Zimbabwe,0.041671251402591834,-0.15681161993538043,5,0.19848287133797227
